TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"5,00","0,00","2,08","150,00","150,00","-11,46","2,22","0,00"
"5,00","0,00","2,13","150,00","150,00","-22,92","3,14","0,00"
"5,00","0,00","2,09","150,00","150,00","-34,38","3,84","0,00"
"5,00","0,00","2,05","150,00","150,00","-45,84","4,43","0,00"
"5,00","0,00","2,02","150,00","150,00","-57,30","4,95","0,00"
"5,00","0,00","2,04","150,00","150,00","-67,61","5,14","0,00"
"5,00","0,00","2,05","150,00","150,00","-67,61","4,64","0,00"
"5,00","0,00","2,06","150,00","150,00","-67,61","4,08","0,00"
"5,00","0,00","2,06","150,00","150,00","-67,61","3,47","0,00"
"5,00","0,00","2,06","150,00","150,00","-67,61","3,47","0,00"
"5,00","0,00","2,06","45,00","148,97","-67,61","3,47","-20,00"
"5,00","0,00","2,10","45,00","143,14","-67,61","3,47","-30,00"
"5,00","0,00","2,19","45,00","132,78","-66,46","3,06","-30,00"
"5,00","0,00","2,26","45,00","120,36","-64,17","2,48","-30,00"
"5,00","0,00","2,30","45,00","107,11","-59,01","2,04","-25,00"
"5,00","0,00","2,32","45,00","94,85","-54,43","1,57","-13,00"
"5,00","0,00","2,33","45,00","84,56","-46,41","1,49","-9,00"
"5,00","0,00","2,32","45,00","76,00","-40,68","1,57","-5,00"
"5,00","0,00","2,29","45,00","68,97","-34,95","1,49","-3,00"
"5,00","0,00","2,25","45,00","63,29","-31,51","1,31","-1,00"
"5,00","0,00","2,21","45,00","58,69","-29,22","1,31","1,00"
"5,00","0,00","2,16","45,00","55,14","-25,21","1,31","1,00"
"5,00","0,00","2,11","45,00","52,39","-23,49","1,31","1,00"
"5,00","0,00","2,07","45,00","50,23","-22,92","1,31","1,00"
"5,00","0,00","2,03","45,00","48,53","-21,20","1,31","1,00"
"5,00","0,00","2,00","45,00","47,20","-19,48","0,86","1,00"
"5,00","0,00","1,96","45,00","46,20","-19,48","0,86","1,00"
"5,00","0,00","1,94","45,00","45,47","-19,48","0,86","0,00"
"5,00","0,00","1,93","45,00","44,82","-19,48","0,70","0,00"
"5,00","0,00","1,91","45,00","44,19","-17,19","0,00","0,00"
"5,00","0,00","1,89","45,00","43,62","-17,19","0,00","1,00"
"5,00","0,00","1,87","45,00","43,26","-17,19","0,00","1,00"
"5,00","0,00","1,86","45,00","43,14","-17,19","0,00","1,00"
"5,00","0,00","1,86","45,00","43,01","-17,19","0,00","-1,00"
"5,00","0,00","1,85","45,00","42,83","-17,19","0,00","1,00"
"5,00","0,00","1,85","45,00","42,84","-17,19","0,00","-1,00"
"5,00","0,00","1,85","45,00","42,74","-17,19","0,00","0,00"
"5,00","0,00","1,85","45,00","42,66","-17,19","0,00","1,00"
"5,00","0,00","1,85","45,00","42,73","-17,19","0,00","-1,00"
"5,00","0,00","1,85","45,00","42,64","-17,19","0,00","1,00"
"5,00","0,00","1,84","45,00","42,63","-17,19","0,00","1,00"
"5,00","0,00","1,84","45,00","42,72","-17,19","0,00","-1,00"
"5,00","0,00","1,84","45,00","42,63","-17,19","0,00","1,00"
"5,00","0,00","1,84","45,00","42,68","-17,19","0,00","1,00"
"5,00","0,00","1,84","45,00","42,74","-17,19","0,00","-1,00"
"5,00","0,00","1,84","45,00","42,66","-17,19","0,00","1,00"
"5,00","0,00","1,84","45,00","42,77","-17,19","0,00","-1,00"
"5,00","0,00","1,85","45,00","42,78","-17,19","0,00","-1,00"
"5,00","0,00","1,85","45,00","42,73","-17,19","0,00","1,00"
"5,00","0,00","1,85","45,00","42,85","-17,19","0,00","-1,00"
"5,00","0,00","1,85","45,00","42,81","-17,19","0,00","0,00"
"5,00","0,00","1,85","45,00","42,80","-17,19","0,00","1,00"
"5,00","0,00","1,85","45,00","42,91","-17,19","0,00","-1,00"
"5,00","0,00","1,85","45,00","42,85","-17,19","0,00","1,00"
"5,00","0,00","1,85","45,00","42,90","-17,19","0,00","1,00"
"5,00","0,00","1,85","45,00","42,98","-17,19","0,00","-1,00"
"5,00","0,00","1,85","45,00","42,91","-17,19","0,00","1,00"
"5,00","0,00","1,85","45,00","43,01","-17,19","0,00","-1,00"
"5,00","0,00","1,85","45,00","43,02","-17,19","0,00","-1,00"
"5,00","0,00","1,85","45,00","42,99","-17,19","0,00","1,00"
