time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","5,00","0,00","2,00","150,00","150,00","0,00","0,00","0,00"
"1,00","5,00","0,00","2,08","150,00","150,00","-11,46","2,22","0,00"
"2,00","5,00","0,00","2,13","150,00","150,00","-22,92","3,14","0,00"
"3,00","5,00","0,00","2,09","150,00","150,00","-34,38","3,84","0,00"
"4,00","5,00","0,00","2,05","150,00","150,00","-45,84","4,43","0,00"
"5,00","5,00","0,00","2,02","150,00","150,00","-57,30","4,95","0,00"
"6,00","5,00","0,00","2,04","150,00","150,00","-67,61","5,14","0,00"
"7,00","5,00","0,00","2,05","150,00","150,00","-67,61","4,64","0,00"
"8,00","5,00","0,00","2,06","150,00","150,00","-67,61","4,08","0,00"
"9,00","5,00","0,00","2,06","150,00","150,00","-67,61","3,47","0,00"
"10,00","5,00","0,00","2,06","210,00","150,00","-67,61","3,47","0,00"
"11,00","5,00","0,00","2,06","210,00","151,03","-67,61","3,47","20,00"
"12,00","5,00","0,00","2,05","210,00","156,83","-67,61","3,47","30,00"
"13,00","5,00","0,00","2,03","210,00","166,66","-69,90","3,47","18,00"
"14,00","5,00","0,00","2,03","210,00","175,91","-71,62","3,47","5,00"
"15,00","5,00","0,00","1,86","210,00","183,17","-75,63","3,47","5,00"
"16,00","5,00","0,00","1,63","210,00","189,18","-80,00","3,21","3,00"
"17,00","5,00","0,00","1,48","210,00","194,07","-80,00","3,74","1,00"
"18,00","5,00","0,00","1,39","210,00","198,01","-72,55","4,35","-1,00"
"19,00","5,00","0,00","1,32","210,00","201,19","-61,09","4,88","-3,00"
"20,00","5,00","0,00","1,27","210,00","203,68","-49,63","5,35","-3,00"
"21,00","5,00","0,00","1,23","210,00","205,62","-38,17","5,79","-3,00"
"22,00","5,00","0,00","1,28","210,00","207,11","-26,71","6,19","-3,00"
"23,00","5,00","0,00","1,50","210,00","208,21","-15,26","6,57","-1,00"
"24,00","5,00","0,00","1,75","210,00","209,05","-3,80","6,93","-1,00"
"25,00","5,00","0,00","1,98","210,00","209,66","7,66","7,27","-1,00"
"26,00","5,00","0,00","2,10","210,00","210,05","19,12","7,59","1,00"
"27,00","5,00","0,00","2,08","210,00","210,54","30,58","7,90","-1,00"
"28,00","5,00","0,00","2,04","210,00","210,82","42,04","8,20","-1,00"
"29,00","5,00","0,00","2,02","210,00","210,99","53,50","8,49","1,00"
"30,00","5,00","0,00","2,04","210,00","211,26","64,96","8,59","-1,00"
"31,00","5,00","0,00","2,08","210,00","211,31","66,68","8,30","1,00"
"32,00","5,00","0,00","2,10","210,00","211,45","66,68","8,01","-1,00"
"33,00","5,00","0,00","2,11","210,00","211,53","66,68","7,70","-1,00"
"34,00","5,00","0,00","2,12","210,00","211,52","66,68","7,38","1,00"
"35,00","5,00","0,00","2,12","210,00","211,65","66,68","7,05","-1,00"
"36,00","5,00","0,00","2,12","210,00","211,58","66,68","6,70","1,00"
"37,00","5,00","0,00","2,12","210,00","211,68","66,68","6,33","-1,00"
"38,00","5,00","0,00","2,12","210,00","211,65","66,68","5,93","0,00"
"39,00","5,00","0,00","2,12","210,00","211,65","66,68","5,51","1,00"
"40,00","5,00","0,00","2,12","210,00","211,70","66,68","5,05","-1,00"
"41,00","5,00","0,00","2,12","210,00","211,61","66,68","4,54","1,00"
"42,00","5,00","0,00","2,11","210,00","211,71","66,68","3,96","-1,00"
"43,00","5,00","0,00","2,11","210,00","211,61","66,68","3,29","1,00"
"44,00","5,00","0,00","2,11","210,00","211,64","66,68","2,48","0,00"
"45,00","5,00","0,00","2,11","210,00","211,64","66,68","2,48","-1,00"
"46,00","5,00","0,00","2,11","210,00","211,56","66,68","2,48","1,00"
"47,00","5,00","0,00","2,11","210,00","211,64","66,68","2,48","-1,00"
"48,00","5,00","0,00","2,11","210,00","211,52","66,68","2,48","1,00"
"49,00","5,00","0,00","2,11","210,00","211,59","66,68","2,48","-1,00"
"50,00","5,00","0,00","2,11","210,00","211,53","66,68","2,48","0,00"
"51,00","5,00","0,00","2,11","210,00","211,50","66,68","2,48","1,00"
"52,00","5,00","0,00","2,11","210,00","211,55","66,68","2,48","-1,00"
"53,00","5,00","0,00","2,11","210,00","211,45","66,68","2,48","1,00"
"54,00","5,00","0,00","2,11","210,00","211,53","66,68","2,48","-1,00"
"55,00","5,00","0,00","2,11","210,00","211,43","66,68","2,48","1,00"
"56,00","5,00","0,00","2,10","210,00","211,43","66,68","2,48","1,00"
"57,00","5,00","0,00","2,09","210,00","211,46","66,68","2,48","-1,00"
"58,00","5,00","0,00","2,09","210,00","211,36","66,68","2,48","1,00"
"59,00","5,00","0,00","2,09","210,00","211,45","66,68","2,48","-1,00"
"60,00","5,00","0,00","2,09","210,00","211,34","66,68","2,48","1,00"
