time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","5,00","0,00","2,00","45,00","45,00","0,00","0,00","0,00"
"1,00","5,00","0,00","1,80","45,00","45,00","-11,46","2,22","0,00"
"2,00","5,00","0,00","1,82","45,00","45,00","-16,62","2,58","0,00"
"3,00","5,00","0,00","1,83","45,00","45,00","-16,62","2,58","0,00"
"4,00","5,00","0,00","1,84","45,00","45,00","-16,62","2,58","0,00"
"5,00","5,00","0,00","1,85","45,00","45,00","-16,62","2,58","0,00"
"6,00","5,00","0,00","1,85","45,00","45,00","-16,62","2,58","0,00"
"7,00","5,00","0,00","1,86","45,00","45,00","-16,62","2,58","0,00"
"8,00","5,00","0,00","1,86","45,00","45,00","-16,62","2,58","0,00"
"9,00","5,00","0,00","1,86","45,00","45,00","-16,62","2,58","0,00"
"10,00","5,00","0,00","1,86","315,00","45,00","-16,62","2,58","0,00"
"11,00","5,00","0,00","1,86","315,00","44,16","-16,62","2,58","-20,00"
"12,00","5,00","0,00","1,84","315,00","39,34","-16,62","2,58","-30,00"
"13,00","5,00","0,00","1,81","315,00","30,77","-16,62","1,79","-30,00"
"14,00","5,00","0,00","1,68","315,00","20,72","-15,47","1,49","-30,00"
"15,00","5,00","0,00","1,49","315,00","10,70","-13,18","0,86","-30,00"
"16,00","5,00","0,00","1,29","315,00","1,35","-11,46","0,00","-30,00"
"17,00","5,00","0,00","1,07","315,00","352,93","-7,45","0,00","-30,00"
"18,00","5,00","0,00","0,93","315,00","345,57","-3,44","0,00","-22,00"
"19,00","5,00","0,00","0,87","315,00","339,35","-0,57","0,00","-14,00"
"20,00","5,00","0,00","0,89","315,00","334,11","2,86","1,49","-6,00"
"21,00","5,00","0,00","0,95","315,00","329,74","6,30","1,65","0,00"
"22,00","5,00","0,00","1,05","315,00","326,14","8,59","1,65","2,00"
"23,00","5,00","0,00","1,19","315,00","323,21","11,46","0,50","4,00"
"24,00","5,00","0,00","1,32","315,00","320,95","12,61","1,11","4,00"
"25,00","5,00","0,00","1,44","315,00","319,25","12,61","1,57","2,00"
"26,00","5,00","0,00","1,55","315,00","317,93","14,90","1,79","2,00"
"27,00","5,00","0,00","1,64","315,00","316,97","14,90","1,79","0,00"
"28,00","5,00","0,00","1,71","315,00","316,14","14,90","1,79","0,00"
"29,00","5,00","0,00","1,76","315,00","315,42","16,62","1,79","2,00"
"30,00","5,00","0,00","1,80","315,00","315,03","16,62","1,79","0,00"
"31,00","5,00","0,00","1,83","315,00","314,68","16,62","1,79","0,00"
"32,00","5,00","0,00","1,85","315,00","314,33","16,62","1,79","0,00"
"33,00","5,00","0,00","1,86","315,00","313,99","16,62","1,79","0,00"
"34,00","5,00","0,00","1,87","315,00","313,75","16,62","1,79","1,00"
"35,00","5,00","0,00","1,88","315,00","313,74","16,62","1,79","1,00"
"36,00","5,00","0,00","1,88","315,00","313,75","16,62","1,79","-1,00"
"37,00","5,00","0,00","1,89","315,00","313,62","16,62","1,79","1,00"
"38,00","5,00","0,00","1,89","315,00","313,69","16,62","1,79","-1,00"
"39,00","5,00","0,00","1,89","315,00","313,68","16,62","1,79","-1,00"
"40,00","5,00","0,00","1,89","315,00","313,60","16,62","1,79","1,00"
"41,00","5,00","0,00","1,89","315,00","313,70","16,62","1,79","-1,00"
"42,00","5,00","0,00","1,89","315,00","313,64","16,62","1,79","1,00"
"43,00","5,00","0,00","1,89","315,00","313,63","16,62","1,79","1,00"
"44,00","5,00","0,00","1,89","315,00","313,71","16,62","1,79","-1,00"
"45,00","5,00","0,00","1,89","315,00","313,63","16,62","1,79","1,00"
"46,00","5,00","0,00","1,89","315,00","313,71","16,62","1,79","-1,00"
"47,00","5,00","0,00","1,89","315,00","313,74","16,62","1,79","-1,00"
"48,00","5,00","0,00","1,89","315,00","313,67","16,62","1,79","1,00"
"49,00","5,00","0,00","1,89","315,00","313,78","16,62","1,79","-1,00"
"50,00","5,00","0,00","1,89","315,00","313,74","16,62","1,79","0,00"
"51,00","5,00","0,00","1,89","315,00","313,72","16,62","1,79","1,00"
"52,00","5,00","0,00","1,89","315,00","313,83","16,62","1,79","-1,00"
"53,00","5,00","0,00","1,89","315,00","313,75","16,62","1,79","1,00"
"54,00","5,00","0,00","1,89","315,00","313,80","16,62","1,79","1,00"
"55,00","5,00","0,00","1,89","315,00","313,85","16,62","1,79","-1,00"
"56,00","5,00","0,00","1,89","315,00","313,77","16,62","1,79","1,00"
"57,00","5,00","0,00","1,89","315,00","313,88","16,62","1,79","-1,00"
"58,00","5,00","0,00","1,89","315,00","313,86","16,62","1,79","-1,00"
"59,00","5,00","0,00","1,89","315,00","313,82","16,62","1,79","1,00"
"60,00","5,00","0,00","1,89","315,00","313,93","16,62","1,79","-1,00"
