time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","4,08","26,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","4,52","29,23","0,07","34,00","0,00","-11,46","2,22","20,00"
"2,00","4,89","27,53","0,20","34,00","0,01","-13,75","2,27","30,00"
"3,00","4,80","25,48","0,35","34,00","0,11","-13,75","1,86","30,00"
"4,00","5,26","28,16","0,52","34,00","0,46","-13,75","0,50","30,00"
"5,00","5,23","30,32","0,69","34,00","1,30","-13,75","0,50","30,00"
"6,00","5,24","29,69","0,87","34,00","2,99","-13,75","0,50","30,00"
"7,00","5,23","28,26","1,01","34,00","5,86","-12,03","0,50","30,00"
"8,00","5,60","28,36","1,10","34,00","10,03","-12,03","0,50","30,00"
"9,00","5,69","34,20","1,15","34,00","15,32","-12,03","0,50","30,00"
"10,00","4,94","31,29","1,11","34,00","21,42","-10,31","0,50","30,00"
"11,00","4,84","32,86","1,02","34,00","27,84","-8,02","0,50","30,00"
"12,00","4,73","33,29","0,92","34,00","34,16","-6,30","0,50","26,00"
"13,00","4,76","36,80","0,82","34,00","39,93","-4,01","0,50","14,00"
"14,00","4,54","34,07","0,77","34,00","44,84","-4,01","0,50","7,00"
"15,00","4,19","32,98","0,77","34,00","48,96","-2,29","0,50","0,00"
"16,00","3,64","34,57","0,76","34,00","52,36","-2,29","0,50","-4,00"
"17,00","4,12","34,58","0,76","34,00","55,13","-4,01","1,11","-7,00"
"18,00","4,09","34,41","0,78","34,00","57,36","-5,73","1,11","-7,00"
"19,00","4,28","35,37","0,81","34,00","59,10","-8,02","1,57","-7,00"
"20,00","4,09","38,91","0,86","34,00","60,44","-8,02","0,50","-7,00"
"21,00","3,45","36,89","0,89","34,00","61,40","-8,02","0,50","-5,00"
"22,00","3,32","35,81","0,91","34,00","62,09","-9,74","1,57","-3,00"
"23,00","3,32","34,95","0,94","34,00","62,60","-9,74","1,57","-3,00"
"24,00","3,21","34,69","0,97","34,00","62,96","-9,74","1,57","-1,00"
"25,00","3,21","33,15","0,98","34,00","63,26","-9,74","1,57","-1,00"
"26,00","3,96","35,01","1,01","34,00","63,49","-9,74","1,57","-1,00"
"27,00","3,79","36,30","1,04","34,00","63,65","-9,74","1,57","-1,00"
"28,00","3,94","38,09","1,06","34,00","63,74","-9,74","1,57","-1,00"
"29,00","3,60","36,51","1,09","34,00","63,76","-9,74","1,57","1,00"
"30,00","3,68","33,07","1,11","34,00","63,82","-9,74","1,57","1,00"
"31,00","3,78","34,21","1,13","34,00","63,94","-9,74","1,57","-1,00"
"32,00","3,90","30,00","1,16","34,00","64,00","-12,03","0,50","-1,00"
"33,00","4,27","25,71","1,21","34,00","63,98","-12,03","0,50","-1,00"
"34,00","4,22","31,63","1,27","34,00","63,95","-12,03","1,31","1,00"
"35,00","4,41","29,75","1,31","34,00","64,02","-12,03","1,57","-1,00"
"36,00","4,10","29,61","1,34","34,00","64,06","-13,75","1,57","-1,00"
"37,00","4,00","31,44","1,38","34,00","63,98","-13,75","1,57","1,00"
"38,00","4,09","33,53","1,39","34,00","63,97","-13,75","1,57","1,00"
"39,00","4,62","33,25","1,43","34,00","64,04","-13,75","0,50","-1,00"
"40,00","4,34","32,29","1,47","34,00","64,02","-13,75","0,50","-1,00"
"41,00","4,37","31,95","1,47","34,00","63,95","-12,03","0,50","1,00"
"42,00","3,78","28,98","1,45","34,00","64,00","-12,03","0,50","-1,00"
"43,00","3,83","30,20","1,42","34,00","64,02","-12,03","0,50","-1,00"
"44,00","3,48","29,92","1,39","34,00","63,94","-12,03","0,50","1,00"
"45,00","3,95","32,71","1,37","34,00","63,93","-12,03","0,50","1,00"
"46,00","4,40","28,28","1,39","34,00","63,99","-12,03","0,50","-1,00"
"47,00","4,04","22,93","1,41","34,00","63,95","-12,03","1,57","-1,00"
"48,00","3,99","25,21","1,43","34,00","63,88","-13,75","1,57","1,00"
"49,00","4,11","20,94","1,46","34,00","63,94","-13,75","1,57","-1,00"
"50,00","4,67","21,61","1,52","34,00","63,96","-13,75","1,57","-1,00"
"51,00","4,02","18,43","1,55","34,00","63,87","-16,04","0,86","1,00"
"52,00","3,82","15,84","1,56","34,00","63,87","-16,04","0,70","1,00"
"53,00","3,73","15,23","1,57","34,00","63,94","-16,04","0,70","-1,00"
"54,00","3,82","16,61","1,58","34,00","63,87","-16,04","0,70","1,00"
"55,00","4,06","12,53","1,59","34,00","63,82","-17,76","0,70","1,00"
"56,00","4,18","10,98","1,61","34,00","63,90","-17,76","0,70","-1,00"
"57,00","4,11","12,83","1,67","34,00","63,85","-17,76","0,86","-1,00"
"58,00","3,88","13,65","1,67","34,00","63,79","-17,76","2,38","1,00"
"59,00","3,43","13,50","1,65","34,00","63,86","-17,76","2,53","-1,00"
"60,00","3,91","14,57","1,64","34,00","63,82","-17,76","2,53","-1,00"
"61,00","4,27","11,65","1,64","249,00","62,95","-17,76","2,53","-21,00"
"62,00","4,32","15,35","1,68","249,00","58,78","-17,76","2,53","-30,00"
"63,00","4,21","12,51","1,66","249,00","51,28","-17,76","2,53","-30,00"
"64,00","4,47","14,39","1,64","249,00","42,19","-17,76","1,57","-30,00"
"65,00","4,52","9,59","1,53","249,00","32,62","-16,04","1,22","-30,00"
"66,00","4,00","10,96","1,38","249,00","23,31","-13,75","0,50","-30,00"
"67,00","3,90","4,44","1,26","249,00","14,57","-10,31","0,50","-30,00"
"68,00","3,87","3,28","1,15","249,00","6,46","-8,02","0,50","-30,00"
"69,00","3,85","6,11","1,03","249,00","358,98","-6,30","0,50","-30,00"
"70,00","4,14","4,66","0,94","249,00","352,10","-2,29","0,50","-30,00"
"71,00","4,22","3,08","0,88","249,00","345,76","-0,00","0,50","-30,00"
"72,00","4,36","9,32","0,87","249,00","339,83","1,72","0,99","-30,00"
"73,00","4,30","12,17","0,92","249,00","334,14","5,73","1,40","-30,00"
"74,00","3,84","10,94","1,00","249,00","328,47","11,46","1,31","-30,00"
"75,00","3,71","14,00","1,08","249,00","322,60","12,61","0,99","-30,00"
"76,00","3,06","13,71","1,15","249,00","316,37","14,90","1,57","-30,00"
"77,00","2,80","14,58","1,21","249,00","309,75","18,33","1,57","-30,00"
"78,00","2,93","9,90","1,24","249,00","302,76","20,63","1,57","-30,00"
"79,00","2,14","7,75","1,25","249,00","295,47","20,63","1,65","-30,00"
"80,00","2,20","8,73","1,24","249,00","288,01","22,92","1,86","-30,00"
"81,00","1,64","8,54","1,22","249,00","280,66","24,64","2,22","-15,00"
"82,00","2,30","10,15","1,21","249,00","274,22","26,93","2,58","-8,00"
"83,00","1,89","11,90","1,21","249,00","268,84","28,65","2,58","-3,00"
"84,00","2,06","16,27","1,21","249,00","264,40","30,94","2,76","1,00"
"85,00","2,11","21,58","1,21","249,00","260,80","34,95","3,25","1,00"
"86,00","2,02","20,47","1,21","249,00","257,91","38,96","3,57","3,00"
"87,00","2,37","19,76","1,22","249,00","255,64","40,68","3,57","3,00"
"88,00","2,25","21,10","1,25","249,00","253,86","44,69","3,57","3,00"
"89,00","2,08","20,42","1,25","249,00","252,50","46,98","3,57","3,00"
"90,00","2,05","17,93","1,24","249,00","251,51","46,98","3,57","2,00"
"91,00","1,82","15,07","1,22","249,00","250,74","46,98","3,57","1,00"
"92,00","2,13","12,74","1,22","249,00","250,10","46,98","3,57","1,00"
"93,00","1,62","16,17","1,21","249,00","249,57","46,98","3,57","1,00"
"94,00","1,18","15,87","1,18","249,00","249,14","46,98","3,57","1,00"
"95,00","1,56","15,93","1,14","249,00","248,81","45,26","3,57","1,00"
"96,00","1,70","12,08","1,13","249,00","248,56","45,26","3,57","1,00"
"97,00","1,61","15,47","1,11","249,00","248,40","45,26","3,57","1,00"
"98,00","1,69","18,78","1,09","249,00","248,32","45,26","3,57","1,00"
"99,00","1,59","17,38","1,08","249,00","248,32","45,26","3,57","1,00"
"100,00","1,97","17,30","1,08","249,00","248,36","46,98","3,57","-1,00"
"101,00","1,39","19,45","1,06","249,00","248,34","46,98","3,57","-1,00"
"102,00","1,74","16,27","1,05","249,00","248,27","46,98","3,57","1,00"
"103,00","1,66","19,77","1,05","249,00","248,25","46,98","3,71","1,00"
"104,00","1,39","18,84","1,03","249,00","248,30","46,98","4,32","0,00"
"105,00","1,29","16,57","1,01","249,00","248,34","46,98","4,51","-1,00"
"106,00","1,85","15,06","0,99","249,00","248,32","46,98","4,51","-1,00"
"107,00","2,16","16,84","1,03","249,00","248,26","46,98","4,51","1,00"
"108,00","2,24","17,08","1,06","249,00","248,26","46,98","4,51","1,00"
"109,00","2,34","20,44","1,11","249,00","248,33","48,70","4,51","-1,00"
"110,00","2,25","20,58","1,15","249,00","248,36","50,99","4,51","-1,00"
"111,00","2,36","19,03","1,20","249,00","248,31","52,71","4,35","0,00"
"112,00","2,20","18,60","1,21","249,00","248,28","52,71","4,35","1,00"
"113,00","2,60","13,60","1,25","249,00","248,33","52,71","4,35","1,00"
"114,00","3,23","10,75","1,38","249,00","248,39","52,71","4,35","-1,00"
"115,00","3,27","10,83","1,50","249,00","248,32","52,71","4,11","1,00"
"116,00","3,71","9,22","1,60","249,00","248,32","50,99","3,87","1,00"
"117,00","3,89","11,22","1,72","249,00","248,41","50,99","3,87","-1,00"
"118,00","4,24","10,67","1,85","249,00","248,35","50,99","3,87","1,00"
"119,00","4,41","13,47","1,95","249,00","248,35","50,99","3,87","1,00"
"120,00","4,30","15,25","2,02","249,00","248,42","50,99","3,87","-1,00"
"121,00","4,29","19,57","2,01","209,00","247,25","50,99","3,87","-21,00"
"122,00","4,59","20,80","1,99","209,00","241,47","52,71","3,87","-22,00"
"123,00","4,71","18,89","1,95","209,00","233,48","55,00","3,81","-2,00"
"124,00","4,38","24,87","1,93","209,00","227,53","57,87","3,57","1,00"
"125,00","4,69","26,75","1,91","209,00","223,25","63,03","3,50","0,00"
"126,00","4,50","29,75","1,90","209,00","219,76","67,61","3,47","0,00"
"127,00","4,40","30,67","1,87","209,00","216,86","72,77","3,47","2,00"
"128,00","4,24","29,33","1,86","209,00","214,70","77,92","3,47","2,00"
"129,00","4,32","31,81","1,84","209,00","213,10","80,00","3,47","1,00"
"130,00","4,12","31,14","1,76","209,00","211,81","80,00","3,71","1,00"
"131,00","4,23","36,39","1,58","209,00","210,79","80,00","4,32","1,00"
"132,00","4,09","36,41","1,43","209,00","209,97","80,00","4,85","1,00"
"133,00","3,84","35,60","1,32","209,00","209,31","71,98","5,33","1,00"
"134,00","3,95","33,45","1,24","209,00","208,78","60,52","5,77","1,00"
"135,00","4,33","34,78","1,17","209,00","208,36","49,06","6,17","1,00"
"136,00","4,12","36,19","1,12","209,00","208,04","37,60","6,55","1,00"
"137,00","3,98","40,84","1,09","209,00","207,80","26,14","6,91","1,00"
"138,00","3,30","41,10","1,05","209,00","207,63","14,68","7,25","1,00"
"139,00","2,94","37,18","1,03","209,00","207,54","3,22","7,58","1,00"
"140,00","3,30","40,69","1,05","209,00","207,52","-8,24","7,89","1,00"
"141,00","3,47","37,61","1,14","209,00","207,51","-19,69","8,19","-1,00"
"142,00","3,63","34,71","1,25","209,00","207,42","-31,15","8,47","1,00"
"143,00","3,64","35,24","1,35","209,00","207,35","-42,61","8,75","1,00"
"144,00","3,75","31,91","1,45","209,00","207,39","-54,07","9,02","-1,00"
"145,00","3,61","32,00","1,53","209,00","207,41","-65,53","9,28","-1,00"
"146,00","3,10","35,91","1,51","209,00","207,32","-76,99","9,51","1,00"
"147,00","2,98","32,87","1,47","209,00","207,35","-80,00","9,27","1,00"
"148,00","3,34","33,70","1,45","209,00","207,42","-80,00","9,01","-1,00"
"149,00","3,24","34,36","1,48","209,00","207,37","-80,00","8,74","1,00"
"150,00","2,73","34,29","1,45","209,00","207,36","-80,00","8,46","1,00"
"151,00","3,14","34,15","1,43","209,00","207,45","-80,00","8,17","-1,00"
"152,00","3,00","34,02","1,43","209,00","207,45","-80,00","7,87","-1,00"
"153,00","2,69","36,22","1,38","209,00","207,39","-80,00","7,56","1,00"
"154,00","2,64","35,20","1,34","209,00","207,44","-80,00","7,24","1,00"
"155,00","2,61","35,31","1,30","209,00","207,51","-80,00","6,90","-1,00"
"156,00","2,82","33,47","1,28","209,00","207,48","-80,00","6,54","-1,00"
"157,00","2,37","32,07","1,26","209,00","207,45","-80,00","6,15","1,00"
"158,00","2,69","33,16","1,26","209,00","207,52","-80,00","5,75","0,00"
"159,00","2,31","33,21","1,23","209,00","207,58","-80,00","5,49","-1,00"
"160,00","2,10","33,23","1,18","209,00","207,54","-80,00","5,49","0,00"
"161,00","1,91","34,35","1,14","209,00","207,51","-80,00","5,49","1,00"
"162,00","1,94","33,81","1,11","209,00","207,57","-80,00","5,49","1,00"
"163,00","1,94","35,55","1,09","209,00","207,64","-80,00","5,49","-1,00"
"164,00","1,48","38,40","1,05","209,00","207,64","-80,00","5,49","-1,00"
"165,00","1,46","40,79","1,01","209,00","207,59","-80,00","5,12","1,00"
"166,00","1,47","43,28","0,98","209,00","207,60","-80,00","4,62","1,00"
"167,00","1,45","44,01","0,96","209,00","207,67","-75,99","4,05","-1,00"
"168,00","1,28","46,11","0,93","209,00","207,72","-74,27","3,47","-1,00"
"169,00","1,45","47,46","0,91","209,00","207,72","-71,98","3,36","-1,00"
"170,00","1,39","49,65","0,89","209,00","207,67","-71,98","3,36","1,00"
"171,00","1,60","52,82","0,88","209,00","207,67","-70,26","3,36","1,00"
"172,00","1,95","50,44","0,89","209,00","207,72","-70,26","3,36","1,00"
"173,00","2,77","53,17","0,95","209,00","207,79","-70,26","3,36","-1,00"
"174,00","2,69","56,48","1,03","209,00","207,79","-70,26","3,36","-1,00"
"175,00","2,50","52,97","1,10","209,00","207,74","-70,26","3,36","1,00"
"176,00","2,68","54,13","1,15","209,00","207,74","-70,26","3,36","1,00"
"177,00","2,69","57,73","1,18","209,00","207,82","-70,26","3,36","-1,00"
"178,00","3,20","59,13","1,26","209,00","207,86","-70,26","2,76","-1,00"
"179,00","3,61","58,92","1,37","209,00","207,81","-70,26","1,65","1,00"
"180,00","4,51","59,48","1,57","209,00","207,80","-70,26","0,50","1,00"
"181,00","4,67","60,16","1,75","268,00","208,63","-67,97","2,10","21,00"
"182,00","4,73","58,10","1,88","268,00","213,23","-67,97","2,22","30,00"
