time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","6,08","14,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","5,57","9,87","0,02","0,00","360,00","4,01","1,40","-20,00"
"2,00","5,73","11,41","0,05","0,00","360,00","4,01","1,40","-30,00"
"3,00","5,43","12,81","0,08","0,00","359,99","4,01","1,40","-30,00"
"4,00","5,87","14,67","0,15","0,00","359,97","4,01","1,40","-30,00"
"5,00","5,70","12,02","0,22","0,00","359,91","5,73","1,40","-30,00"
"6,00","6,06","12,72","0,26","0,00","359,75","5,73","1,40","-30,00"
"7,00","5,96","14,10","0,32","0,00","359,47","5,73","1,40","-30,00"
"8,00","6,42","9,31","0,38","0,00","359,00","5,73","1,40","-30,00"
"9,00","6,04","10,29","0,39","0,00","358,28","5,73","1,40","-30,00"
"10,00","5,95","10,28","0,41","0,00","357,30","5,73","1,40","-30,00"
"11,00","5,58","7,74","0,49","0,00","356,03","5,73","1,40","-30,00"
"12,00","5,79","3,17","0,50","0,00","354,43","5,73","1,40","-30,00"
"13,00","5,90","3,74","0,50","0,00","352,50","5,73","1,40","-30,00"
"14,00","6,01","1,61","0,52","0,00","350,31","5,73","1,40","-30,00"
"15,00","6,07","0,50","0,53","0,00","347,89","5,73","1,40","-17,00"
"16,00","5,85","0,58","0,54","0,00","345,48","4,01","0,50","3,00"
"17,00","5,73","358,64","0,53","0,00","343,37","4,01","0,50","9,00"
"18,00","5,87","0,88","0,58","0,00","341,61","4,01","0,50","12,00"
"19,00","5,96","1,25","0,64","0,00","340,22","4,01","0,50","12,00"
"20,00","6,07","0,29","0,66","0,00","339,19","4,01","0,50","8,00"
"21,00","5,94","2,23","0,72","0,00","338,45","5,16","0,86","6,00"
"22,00","5,84","4,53","0,83","0,00","337,93","8,02","1,22","4,00"
"23,00","5,20","3,35","0,95","0,00","337,58","8,02","1,22","2,00"
"24,00","4,39","0,75","1,02","0,00","337,36","8,02","1,22","1,00"
"25,00","4,56","1,79","1,01","0,00","337,19","8,02","1,22","0,00"
"26,00","5,06","4,48","1,09","0,00","337,03","10,31","0,50","0,00"
"27,00","4,74","7,80","1,17","0,00","336,87","10,31","0,50","0,00"
