time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","5,00","79,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","5,00","79,60","0,11","0,00","0,00","-11,46","2,22","0,00"
"2,00","5,00","83,25","0,47","0,00","0,00","-22,92","3,14","0,00"
"3,00","5,00","85,92","0,98","0,00","0,00","-34,38","3,84","0,00"
"4,00","5,00","86,25","1,50","0,00","0,00","-38,96","3,40","0,00"
"5,00","5,00","86,90","1,87","0,00","0,00","-38,96","2,58","0,00"
"6,00","5,00","87,46","2,08","0,00","0,00","-37,24","1,49","0,00"
"7,00","5,00","90,15","2,20","0,00","0,00","-37,24","1,49","0,00"
"8,00","5,00","87,77","2,24","0,00","0,00","-34,95","1,92","0,00"
"9,00","5,00","91,38","2,26","0,00","0,00","-34,95","1,92","0,00"
"10,00","5,00","94,20","2,27","0,00","0,00","-34,95","1,92","0,00"
"11,00","5,00","92,93","2,28","0,00","0,00","-34,95","1,92","0,00"
"12,00","5,00","96,22","2,28","0,00","0,00","-34,95","1,92","0,00"
"13,00","5,00","93,69","2,28","0,00","0,00","-34,95","2,38","0,00"
"14,00","5,00","92,60","2,28","0,00","0,00","-34,95","3,25","0,00"
"15,00","5,00","91,47","2,28","0,00","0,00","-34,95","3,50","0,00"
"16,00","5,00","92,76","2,28","0,00","0,00","-34,95","3,50","0,00"
"17,00","5,00","97,85","2,28","0,00","0,00","-34,95","3,50","0,00"
"18,00","5,00","94,12","2,28","0,00","0,00","-34,95","3,50","0,00"
"19,00","5,00","100,43","2,28","0,00","0,00","-36,10","3,50","0,00"
"20,00","5,00","98,92","2,28","0,00","0,00","-36,67","3,40","0,00"
"21,00","5,00","97,17","2,29","0,00","0,00","-36,67","3,40","0,00"
"22,00","5,00","97,76","2,29","0,00","0,00","-36,67","3,40","0,00"
"23,00","5,00","96,41","2,29","0,00","0,00","-36,67","3,40","0,00"
"24,00","5,00","98,75","2,29","0,00","0,00","-36,67","3,40","0,00"
"25,00","5,00","97,90","2,29","0,00","0,00","-36,67","3,40","0,00"
"26,00","5,00","97,25","2,29","0,00","0,00","-36,67","3,40","0,00"
"27,00","5,00","100,20","2,29","0,00","0,00","-36,67","3,40","0,00"
"28,00","5,00","99,67","2,29","0,00","0,00","-36,67","3,40","0,00"
"29,00","5,00","92,02","2,29","0,00","0,00","-36,67","3,40","0,00"
"30,00","5,00","94,94","2,29","0,00","0,00","-36,67","3,40","0,00"
"31,00","5,00","95,36","2,29","0,00","0,00","-36,67","3,40","0,00"
"32,00","5,00","98,81","2,29","0,00","0,00","-36,67","3,40","0,00"
"33,00","5,00","100,59","2,29","0,00","0,00","-36,67","3,40","0,00"
"34,00","5,00","103,92","2,28","0,00","0,00","-36,67","3,40","0,00"
"35,00","5,00","100,98","2,29","0,00","0,00","-38,96","3,40","0,00"
"36,00","5,00","98,56","2,30","0,00","0,00","-38,96","3,40","0,00"
"37,00","5,00","99,75","2,31","0,00","0,00","-38,96","3,40","0,00"
"38,00","5,00","100,77","2,31","0,00","0,00","-38,96","3,40","0,00"
"39,00","5,00","99,63","2,31","0,00","0,00","-38,96","3,40","0,00"
"40,00","5,00","98,74","2,31","0,00","0,00","-38,96","3,40","0,00"
"41,00","5,00","98,21","2,31","0,00","0,00","-38,96","3,40","0,00"
"42,00","5,00","101,08","2,31","0,00","0,00","-38,96","3,40","0,00"
"43,00","5,00","101,21","2,31","0,00","0,00","-38,96","3,40","0,00"
"44,00","5,00","101,53","2,31","0,00","0,00","-38,96","3,40","0,00"
"45,00","5,00","101,31","2,31","0,00","0,00","-38,96","3,40","0,00"
"46,00","5,00","104,73","2,30","0,00","0,00","-38,96","3,40","0,00"
"47,00","5,00","106,87","2,29","0,00","0,00","-38,96","3,40","0,00"
"48,00","5,00","105,83","2,29","0,00","0,00","-38,96","3,40","0,00"
"49,00","5,00","103,18","2,30","0,00","0,00","-40,68","3,50","0,00"
"50,00","5,00","103,94","2,31","0,00","0,00","-40,68","3,50","0,00"
"51,00","5,00","102,62","2,31","0,00","0,00","-40,68","3,50","0,00"
"52,00","5,00","101,63","2,31","0,00","0,00","-40,68","3,50","0,00"
"53,00","5,00","99,17","2,32","0,00","0,00","-40,68","2,76","0,00"
"54,00","5,00","98,38","2,32","0,00","0,00","-40,68","2,48","0,00"
"55,00","5,00","101,43","2,31","0,00","0,00","-38,96","2,48","0,00"
"56,00","5,00","100,63","2,31","0,00","0,00","-38,96","2,48","0,00"
"57,00","5,00","99,54","2,31","0,00","0,00","-38,96","2,48","0,00"
"58,00","5,00","102,32","2,31","0,00","0,00","-38,96","2,48","0,00"
"59,00","5,00","99,45","2,31","0,00","0,00","-38,96","2,48","0,00"
"60,00","5,00","99,46","2,31","0,00","0,00","-38,96","2,48","0,00"
"61,00","5,00","100,61","2,31","0,00","0,00","-38,96","2,48","0,00"
"62,00","5,00","98,02","2,31","0,00","0,00","-38,96","2,48","0,00"
"63,00","5,00","95,57","2,31","0,00","0,00","-38,96","2,48","0,00"
"64,00","5,00","99,51","2,31","0,00","0,00","-38,96","2,48","0,00"
"65,00","5,00","99,12","2,31","0,00","0,00","-38,96","2,48","0,00"
