time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder,Vmg
"0,00","8,00","360,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","8,00","1,00","-0,01","0,00","0,00","0,00","0,00","19,00","-0,01"
"2,00","8,00","2,00","-0,01","0,00","0,00","0,00","0,00","30,00","-0,01"
"3,00","8,00","3,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"4,00","8,00","4,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"5,00","8,00","5,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"6,00","8,00","6,00","-0,00","0,00","0,00","1,72","0,70","30,00","-0,00"
"7,00","8,00","7,00","-0,00","0,00","0,00","1,72","0,70","30,00","-0,00"
"8,00","8,00","8,00","0,00","0,00","0,00","1,72","0,70","30,00","0,00"
"9,00","8,00","9,00","0,02","0,00","0,00","1,72","0,70","30,00","0,02"
"10,00","8,00","10,00","0,06","0,00","0,00","4,01","1,11","30,00","0,06"
"11,00","8,00","11,00","0,12","0,00","0,01","4,01","1,11","30,00","0,12"
"12,00","8,00","12,00","0,21","0,00","0,04","4,01","1,11","30,00","0,21"
"13,00","8,00","13,00","0,32","0,00","0,13","4,01","1,11","30,00","0,32"
"14,00","8,00","14,00","0,46","0,00","0,34","5,73","1,11","30,00","0,44"
"15,00","8,00","15,00","0,62","0,00","0,74","5,73","1,11","30,00","0,60"
"16,00","8,00","16,00","0,80","0,00","1,43","5,73","1,11","30,00","0,76"
"17,00","8,00","17,00","0,96","0,00","2,46","5,73","1,11","30,00","0,92"
"18,00","8,00","18,00","1,11","0,00","3,60","6,88","1,57","14,00","1,05"
"19,00","8,00","19,00","1,31","0,00","3,88","8,02","0,50","0,00","1,24"
"20,00","8,00","20,00","1,47","0,00","3,50","8,02","0,50","3,00","1,38"
"21,00","8,00","21,00","1,60","0,00","3,47","8,02","0,50","1,00","1,49"
"22,00","8,00","22,00","1,68","0,00","3,33","8,02","0,50","1,00","1,55"
"23,00","8,00","23,00","1,75","0,00","3,18","9,74","1,57","-1,00","1,61"
"24,00","8,00","24,00","1,87","0,00","2,91","10,31","0,50","0,00","1,71"
"25,00","8,00","25,00","1,94","0,00","2,76","10,31","0,50","1,00","1,75"
"26,00","8,00","26,00","1,97","0,00","2,69","10,31","0,50","0,00","1,77"
"27,00","8,00","27,00","1,98","0,00","2,51","10,31","0,50","-1,00","1,77"
"28,00","8,00","28,00","1,99","0,00","2,22","10,31","0,50","0,00","1,76"
