time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","5,00","270,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","5,00","270,50","0,24","0,00","0,00","20,05","1,92","0,00"
"2,00","5,00","271,00","0,75","0,00","0,00","31,51","2,93","0,00"
"3,00","5,00","271,50","1,32","0,00","0,00","41,83","3,36","0,00"
"4,00","5,00","272,00","1,77","0,00","0,00","41,25","2,53","0,00"
"5,00","5,00","272,50","2,05","0,00","0,00","40,11","1,22","0,00"
"6,00","5,00","273,00","2,19","0,00","0,00","38,39","0,50","0,00"
"7,00","5,00","273,50","2,25","0,00","0,00","36,10","0,50","0,00"
"8,00","5,00","274,00","2,27","0,00","0,00","34,38","1,22","0,00"
"9,00","5,00","274,50","2,28","0,00","0,00","34,38","1,57","0,00"
"10,00","5,00","275,00","2,28","0,00","0,00","34,38","1,31","0,00"
"11,00","5,00","275,50","2,28","0,00","0,00","32,09","0,70","0,00"
"12,00","5,00","276,00","2,27","0,00","0,00","32,09","1,57","0,00"
"13,00","5,00","276,50","2,26","0,00","0,00","32,09","1,57","0,00"
"14,00","5,00","277,00","2,26","0,00","0,00","32,09","1,57","0,00"
"15,00","5,00","277,50","2,26","0,00","0,00","32,09","1,57","0,00"
"16,00","5,00","278,00","2,26","0,00","0,00","32,09","1,57","0,00"
"17,00","5,00","278,50","2,27","0,00","0,00","32,09","1,57","0,00"
"18,00","5,00","279,00","2,27","0,00","0,00","32,09","1,57","0,00"
"19,00","5,00","279,50","2,27","0,00","0,00","32,09","0,50","0,00"
"20,00","5,00","280,00","2,27","0,00","0,00","32,09","0,50","0,00"
"21,00","5,00","280,50","2,26","0,00","0,00","30,37","1,57","0,00"
"22,00","5,00","281,00","2,25","0,00","0,00","30,37","1,57","0,00"
"23,00","5,00","281,50","2,25","0,00","0,00","30,37","1,57","0,00"
"24,00","5,00","282,00","2,25","0,00","0,00","30,37","1,57","0,00"
"25,00","5,00","282,50","2,25","0,00","0,00","30,37","1,57","0,00"
"26,00","5,00","283,00","2,25","0,00","0,00","30,37","1,57","0,00"
"27,00","5,00","283,50","2,25","0,00","0,00","30,37","1,57","0,00"
"28,00","5,00","284,00","2,24","0,00","0,00","30,37","0,86","0,00"
"29,00","5,00","284,50","2,24","0,00","0,00","30,37","0,50","0,00"
"30,00","5,00","285,00","2,24","0,00","0,00","30,37","0,50","0,00"
"31,00","5,00","285,50","2,23","0,00","0,00","28,07","1,57","0,00"
"32,00","5,00","286,00","2,22","0,00","0,00","28,07","1,57","0,00"
"33,00","5,00","286,50","2,22","0,00","0,00","28,07","1,57","0,00"
"34,00","5,00","287,00","2,21","0,00","0,00","28,07","1,57","0,00"
"35,00","5,00","287,50","2,21","0,00","0,00","28,07","1,57","0,00"
"36,00","5,00","288,00","2,21","0,00","0,00","28,07","1,57","0,00"
"37,00","5,00","288,50","2,21","0,00","0,00","28,07","1,57","0,00"
"38,00","5,00","289,00","2,21","0,00","0,00","28,07","0,50","0,00"
"39,00","5,00","289,50","2,20","0,00","0,00","28,07","0,50","0,00"
"40,00","5,00","290,00","2,20","0,00","0,00","28,07","0,50","0,00"
"41,00","5,00","290,50","2,19","0,00","0,00","26,36","1,31","0,00"
"42,00","5,00","291,00","2,19","0,00","0,00","26,36","1,57","0,00"
"43,00","5,00","291,50","2,18","0,00","0,00","26,36","1,57","0,00"
"44,00","5,00","292,00","2,18","0,00","0,00","26,36","1,57","0,00"
"45,00","5,00","292,50","2,18","0,00","0,00","26,36","1,57","0,00"
"46,00","5,00","293,00","2,17","0,00","0,00","26,36","1,57","0,00"
"47,00","5,00","293,50","2,17","0,00","0,00","26,36","1,57","0,00"
"48,00","5,00","294,00","2,17","0,00","0,00","26,36","0,50","0,00"
"49,00","5,00","294,50","2,17","0,00","0,00","26,36","0,50","0,00"
"50,00","5,00","295,00","2,17","0,00","0,00","26,36","0,50","0,00"
"51,00","5,00","295,50","2,16","0,00","0,00","26,36","0,50","0,00"
"52,00","5,00","296,00","2,14","0,00","0,00","24,06","1,57","0,00"
"53,00","5,00","296,50","2,14","0,00","0,00","24,06","1,57","0,00"
"54,00","5,00","297,00","2,13","0,00","0,00","24,06","1,57","0,00"
"55,00","5,00","297,50","2,13","0,00","0,00","24,06","1,57","0,00"
"56,00","5,00","298,00","2,13","0,00","0,00","24,06","1,57","0,00"
"57,00","5,00","298,50","2,12","0,00","0,00","24,06","1,57","0,00"
"58,00","5,00","299,00","2,12","0,00","0,00","24,06","0,50","0,00"
"59,00","5,00","299,50","2,12","0,00","0,00","24,06","0,50","0,00"
"60,00","5,00","300,00","2,11","0,00","0,00","24,06","0,50","0,00"
"61,00","5,00","300,50","2,12","0,00","0,00","24,06","0,50","0,00"
"62,00","5,00","301,00","2,11","0,00","0,00","22,35","0,86","0,00"
"63,00","5,00","301,50","2,10","0,00","0,00","22,35","1,57","0,00"
"64,00","5,00","302,00","2,09","0,00","0,00","22,35","1,57","0,00"
"65,00","5,00","302,50","2,09","0,00","0,00","22,35","1,57","0,00"
"66,00","5,00","303,00","2,08","0,00","0,00","22,35","1,57","0,00"
"67,00","5,00","303,50","2,08","0,00","0,00","22,35","1,57","0,00"
"68,00","5,00","304,00","2,07","0,00","0,00","22,35","0,50","0,00"
"69,00","5,00","304,50","2,07","0,00","0,00","22,35","0,50","0,00"
"70,00","5,00","305,00","2,06","0,00","0,00","22,35","0,50","0,00"
"71,00","5,00","305,50","2,06","0,00","0,00","22,35","0,50","0,00"
"72,00","5,00","306,00","2,05","0,00","0,00","22,35","0,50","0,00"
"73,00","5,00","306,50","2,04","0,00","0,00","20,05","0,50","0,00"
"74,00","5,00","307,00","2,02","0,00","0,00","20,05","0,50","0,00"
"75,00","5,00","307,50","2,02","0,00","0,00","20,05","0,50","0,00"
"76,00","5,00","308,00","2,01","0,00","0,00","20,05","0,50","0,00"
"77,00","5,00","308,50","2,00","0,00","0,00","20,05","0,50","0,00"
"78,00","5,00","309,00","2,00","0,00","0,00","20,05","0,50","0,00"
"79,00","5,00","309,50","1,99","0,00","0,00","20,05","0,50","0,00"
"80,00","5,00","310,00","1,99","0,00","0,00","20,05","0,50","0,00"
"81,00","5,00","310,50","1,98","0,00","0,00","20,05","0,50","0,00"
"82,00","5,00","311,00","1,97","0,00","0,00","20,05","0,50","0,00"
"83,00","5,00","311,50","1,97","0,00","0,00","20,05","0,50","0,00"
"84,00","5,00","312,00","1,96","0,00","0,00","18,33","0,50","0,00"
"85,00","5,00","312,50","1,95","0,00","0,00","18,33","0,50","0,00"
"86,00","5,00","313,00","1,93","0,00","0,00","18,33","0,50","0,00"
"87,00","5,00","313,50","1,92","0,00","0,00","18,33","0,50","0,00"
"88,00","5,00","314,00","1,92","0,00","0,00","18,33","0,50","0,00"
"89,00","5,00","314,50","1,91","0,00","0,00","18,33","0,50","0,00"
"90,00","5,00","315,00","1,90","0,00","0,00","18,33","0,50","0,00"
"91,00","5,00","315,50","1,89","0,00","0,00","18,33","0,50","0,00"
"92,00","5,00","316,00","1,89","0,00","0,00","18,33","0,50","0,00"
"93,00","5,00","316,50","1,88","0,00","0,00","18,33","0,50","0,00"
"94,00","5,00","317,00","1,88","0,00","0,00","18,33","0,50","0,00"
"95,00","5,00","317,50","1,87","0,00","0,00","18,33","0,50","0,00"
"96,00","5,00","318,00","1,85","0,00","0,00","16,04","0,50","0,00"
"97,00","5,00","318,50","1,83","0,00","0,00","16,04","0,50","0,00"
"98,00","5,00","319,00","1,82","0,00","0,00","16,04","0,50","0,00"
"99,00","5,00","319,50","1,81","0,00","0,00","16,04","0,50","0,00"
"100,00","5,00","320,00","1,80","0,00","0,00","16,04","0,50","0,00"
"101,00","5,00","320,50","1,79","0,00","0,00","16,04","0,50","0,00"
"102,00","5,00","321,00","1,79","0,00","0,00","16,04","0,50","0,00"
"103,00","5,00","321,50","1,78","0,00","0,00","16,04","0,50","0,00"
"104,00","5,00","322,00","1,77","0,00","0,00","16,04","0,50","0,00"
"105,00","5,00","322,50","1,77","0,00","0,00","16,04","0,50","0,00"
"106,00","5,00","323,00","1,76","0,00","0,00","16,04","0,50","0,00"
"107,00","5,00","323,50","1,75","0,00","0,09","14,32","0,50","1,00"
"108,00","5,00","324,00","1,73","0,00","0,36","14,32","0,50","0,00"
"109,00","5,00","324,50","1,72","0,00","0,69","14,32","0,50","-1,00"
"110,00","5,00","325,00","1,71","0,00","0,98","14,32","0,50","0,00"
"111,00","5,00","325,50","1,70","0,00","1,34","14,32","0,50","0,00"
"112,00","5,00","326,00","1,69","0,00","1,69","14,32","0,50","-1,00"
"113,00","5,00","326,50","1,69","0,00","2,00","14,32","0,50","1,00"
"114,00","5,00","327,00","1,69","0,00","2,52","14,32","0,50","0,00"
"115,00","5,00","327,50","1,68","0,00","3,06","14,32","0,50","-1,00"
"116,00","5,00","328,00","1,68","0,00","3,53","14,32","0,50","0,00"
"117,00","5,00","328,50","1,68","0,00","4,06","14,32","0,50","-1,00"
"118,00","5,00","329,00","1,68","0,00","4,57","14,32","0,50","0,00"
"119,00","5,00","329,50","1,68","0,00","5,11","14,32","0,50","-1,00"
"120,00","5,00","330,00","1,68","0,00","5,60","14,32","0,50","0,00"
"121,00","5,00","330,50","1,68","0,00","6,13","14,32","0,50","-1,00"
"122,00","5,00","331,00","1,68","0,00","6,62","14,32","0,50","0,00"
"123,00","5,00","331,50","1,68","0,00","7,15","14,32","0,50","-1,00"
"124,00","5,00","332,00","1,68","0,00","7,64","14,32","0,50","0,00"
"125,00","5,00","332,50","1,68","0,00","8,18","14,32","0,50","-1,00"
"126,00","5,00","333,00","1,68","0,00","8,67","14,32","0,50","0,00"
"127,00","5,00","333,50","1,68","0,00","9,20","14,32","0,50","-1,00"
"128,00","5,00","334,00","1,68","0,00","9,69","14,32","0,50","0,00"
"129,00","5,00","334,50","1,68","0,00","10,23","14,32","0,50","-1,00"
"130,00","5,00","335,00","1,68","0,00","10,72","14,32","0,50","0,00"
"131,00","5,00","335,50","1,68","0,00","11,25","14,32","0,50","-1,00"
"132,00","5,00","336,00","1,68","0,00","11,75","14,32","0,50","0,00"
"133,00","5,00","336,50","1,68","0,00","12,28","14,32","0,50","-1,00"
