time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","3,74","90,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","3,66","90,00","0,07","0,00","0,00","-11,46","2,22","0,00"
"2,00","3,52","90,00","0,23","0,00","0,00","-22,92","3,14","0,00"
"3,00","3,51","90,00","0,49","0,00","0,00","-34,38","3,84","0,00"
"4,00","4,12","90,00","0,84","0,00","0,00","-42,97","3,90","0,00"
"5,00","4,33","90,00","1,24","0,00","0,00","-42,97","3,21","0,00"
"6,00","4,35","90,00","1,60","0,00","0,00","-41,25","2,33","0,00"
"7,00","4,14","90,00","1,81","0,00","0,00","-38,96","1,22","0,00"
"8,00","3,92","90,00","1,91","0,00","0,00","-37,82","1,22","0,00"
"9,00","3,95","90,00","1,94","0,00","0,00","-37,24","1,22","0,00"
"10,00","3,81","90,00","1,95","0,00","0,00","-34,95","1,86","0,00"
"11,00","4,01","90,00","1,93","0,00","0,00","-34,95","1,98","0,00"
"12,00","3,89","90,00","1,93","0,00","0,00","-34,95","1,98","0,00"
"13,00","3,71","90,00","1,91","0,00","0,00","-34,38","1,98","0,00"
"14,00","3,62","90,00","1,89","0,00","0,00","-33,23","1,98","0,00"
"15,00","3,41","90,00","1,87","0,00","0,00","-33,23","1,98","0,00"
"16,00","2,71","90,00","1,78","0,00","0,00","-33,23","1,98","0,00"
"17,00","2,92","90,00","1,71","0,00","0,00","-33,23","1,98","0,00"
"18,00","3,49","90,00","1,72","0,00","0,00","-33,23","1,98","0,00"
"19,00","3,27","90,00","1,74","0,00","0,00","-33,23","1,98","0,00"
"20,00","3,26","90,00","1,73","0,00","0,00","-33,23","1,98","0,00"
"21,00","3,39","90,00","1,72","0,00","0,00","-33,23","1,98","0,00"
"22,00","3,77","90,00","1,77","0,00","0,00","-33,23","1,98","0,00"
"23,00","3,65","90,00","1,80","0,00","0,00","-33,23","1,98","0,00"
"24,00","4,33","90,00","1,87","0,00","0,00","-33,23","1,98","0,00"
"25,00","3,99","90,00","1,94","0,00","0,00","-33,23","1,98","0,00"
"26,00","3,89","90,00","1,94","0,00","0,00","-33,23","1,98","0,00"
"27,00","3,96","90,00","1,94","0,00","0,00","-33,23","1,98","0,00"
"28,00","3,99","90,00","1,94","0,00","0,00","-33,23","1,98","0,00"
"29,00","3,63","90,00","1,92","0,00","0,00","-33,23","1,98","0,00"
"30,00","3,04","90,00","1,84","0,00","0,00","-33,23","1,98","0,00"
"31,00","2,97","90,00","1,76","0,00","0,00","-33,23","1,98","0,00"
"32,00","2,96","90,00","1,71","0,00","0,00","-33,23","1,98","0,00"
