time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","0,00","90,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","0,10","90,00","0,00","0,00","0,00","-11,46","2,22","0,00"
"2,00","0,20","90,00","0,00","0,00","0,00","-22,92","3,14","0,00"
"3,00","0,30","90,00","0,00","0,00","0,00","-34,38","3,84","0,00"
"4,00","0,40","90,00","0,01","0,00","0,00","-44,69","4,08","0,00"
"5,00","0,50","90,00","0,01","0,00","0,00","-44,69","3,43","0,00"
"6,00","0,60","90,00","0,02","0,00","0,00","-44,69","2,62","0,00"
"7,00","0,70","90,00","0,04","0,00","0,00","-44,69","1,40","0,00"
"8,00","0,80","90,00","0,06","0,00","0,00","-44,69","0,50","0,00"
"9,00","0,90","90,00","0,08","0,00","0,00","-44,69","0,50","0,00"
"10,00","1,00","90,00","0,10","0,00","0,00","-42,97","1,31","0,00"
"11,00","1,10","90,00","0,14","0,00","0,00","-42,97","1,57","0,00"
"12,00","1,20","90,00","0,18","0,00","0,00","-42,97","1,57","0,00"
"13,00","1,30","90,00","0,22","0,00","0,00","-42,97","1,57","0,00"
"14,00","1,40","90,00","0,27","0,00","0,00","-42,97","0,50","0,00"
"15,00","1,50","90,00","0,33","0,00","0,00","-41,25","0,50","0,00"
"16,00","1,60","90,00","0,39","0,00","0,00","-41,25","0,50","0,00"
"17,00","1,70","90,00","0,46","0,00","0,00","-41,25","0,50","0,00"
"18,00","1,80","90,00","0,54","0,00","0,00","-39,53","0,50","0,00"
"19,00","1,90","90,00","0,62","0,00","0,00","-38,96","1,57","0,00"
"20,00","2,00","90,00","0,70","0,00","0,00","-38,96","1,57","0,00"
"21,00","2,10","90,00","0,79","0,00","0,00","-38,96","1,57","0,00"
"22,00","2,20","90,00","0,88","0,00","0,00","-37,24","1,57","0,00"
"23,00","2,30","90,00","0,97","0,00","0,00","-37,24","1,57","0,00"
"24,00","2,40","90,00","1,05","0,00","0,00","-37,24","1,57","0,00"
"25,00","2,50","90,00","1,14","0,00","0,00","-37,24","0,50","0,00"
"26,00","2,60","90,00","1,22","0,00","0,00","-34,95","1,98","0,00"
"27,00","2,70","90,00","1,29","0,00","0,00","-34,95","2,53","0,00"
"28,00","2,80","90,00","1,36","0,00","0,00","-34,95","2,53","0,00"
"29,00","2,90","90,00","1,42","0,00","0,00","-34,95","2,53","0,00"
"30,00","3,00","90,00","1,48","0,00","0,00","-34,95","2,53","0,00"
"31,00","3,10","90,00","1,53","0,00","0,00","-34,95","2,53","0,00"
"32,00","3,20","90,00","1,58","0,00","0,00","-34,95","2,53","0,00"
"33,00","3,30","90,00","1,63","0,00","0,00","-34,95","2,53","0,00"
"34,00","3,40","90,00","1,68","0,00","0,00","-34,95","2,53","0,00"
"35,00","3,50","90,00","1,72","0,00","0,00","-34,95","2,53","0,00"
"36,00","3,60","90,00","1,76","0,00","0,00","-34,95","2,53","0,00"
"37,00","3,70","90,00","1,80","0,00","0,00","-34,95","2,53","0,00"
"38,00","3,80","90,00","1,83","0,00","0,00","-34,95","2,53","0,00"
"39,00","3,90","90,00","1,87","0,00","0,00","-34,95","2,53","0,00"
"40,00","4,00","90,00","1,91","0,00","0,00","-34,95","2,53","0,00"
"41,00","4,10","90,00","1,94","0,00","0,00","-34,95","2,53","0,00"
"42,00","4,20","90,00","1,98","0,00","0,00","-34,95","2,53","0,00"
"43,00","4,30","90,00","2,02","0,00","0,00","-34,95","2,53","0,00"
"44,00","4,40","90,00","2,05","0,00","0,00","-34,95","2,53","0,00"
"45,00","4,50","90,00","2,08","0,00","0,00","-34,95","2,53","0,00"
"46,00","4,60","90,00","2,11","0,00","0,00","-34,95","2,53","0,00"
"47,00","4,70","90,00","2,15","0,00","0,00","-34,95","2,53","0,00"
"48,00","4,80","90,00","2,18","0,00","0,00","-34,95","2,53","0,00"
"49,00","4,90","90,00","2,21","0,00","0,00","-34,95","2,53","0,00"
"50,00","5,00","90,00","2,24","0,00","0,00","-34,95","2,53","0,00"
"51,00","5,10","90,00","2,28","0,00","0,00","-34,95","2,53","0,00"
"52,00","5,20","90,00","2,31","0,00","0,00","-34,95","2,53","0,00"
"53,00","5,30","90,00","2,34","0,00","0,00","-34,95","2,53","0,00"
"54,00","5,40","90,00","2,37","0,00","0,00","-34,95","2,53","0,00"
"55,00","5,50","90,00","2,40","0,00","0,00","-34,95","2,53","0,00"
"56,00","5,60","90,00","2,43","0,00","0,00","-34,95","2,53","0,00"
"57,00","5,70","90,00","2,46","0,00","0,00","-34,95","2,53","0,00"
"58,00","5,80","90,00","2,49","0,00","0,00","-34,95","2,53","0,00"
"59,00","5,90","90,00","2,52","0,00","0,00","-34,95","2,53","0,00"
"60,00","6,00","90,00","2,55","0,00","0,00","-34,95","2,53","0,00"
