TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"5,00","135,00","0,86","0,00","0,00","-11,46","2,22","0,00"
"5,00","135,00","1,38","0,00","0,00","-22,92","3,14","0,00"
"5,00","135,00","1,63","0,00","0,00","-34,38","3,84","0,00"
"5,00","135,00","1,79","0,00","0,00","-45,84","4,43","0,00"
"5,00","135,00","1,95","0,00","0,00","-57,30","4,95","0,00"
"5,00","135,00","2,12","0,00","0,00","-60,73","4,62","0,00"
"5,00","135,00","2,20","0,00","0,00","-59,01","4,05","0,00"
"5,00","135,00","2,23","0,00","0,00","-59,01","3,40","0,00"
"5,00","135,00","2,24","0,00","0,00","-59,01","2,58","0,00"
"5,00","135,00","2,25","0,00","0,00","-59,01","1,49","0,00"
"5,00","135,00","2,25","0,00","0,00","-58,44","1,49","0,00"
"5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
