time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","5,00","0,00","2,00","45,00","45,00","0,00","0,00","0,00"
"1,00","5,00","0,00","1,80","45,00","45,00","-11,46","2,22","0,00"
"2,00","5,00","0,00","1,82","45,00","45,00","-16,62","2,58","0,00"
"3,00","5,00","0,00","1,83","45,00","45,00","-16,62","2,58","0,00"
"4,00","5,00","0,00","1,84","45,00","45,00","-16,62","2,58","0,00"
"5,00","5,00","0,00","1,85","45,00","45,00","-16,62","2,58","0,00"
"6,00","5,00","0,00","1,85","45,00","45,00","-16,62","2,58","0,00"
"7,00","5,00","0,00","1,86","45,00","45,00","-16,62","2,58","0,00"
"8,00","5,00","0,00","1,86","45,00","45,00","-16,62","2,58","0,00"
"9,00","5,00","0,00","1,86","45,00","45,00","-16,62","2,58","0,00"
"10,00","5,00","0,00","1,86","315,00","45,00","-16,62","2,58","0,00"
"11,00","5,00","0,00","1,86","315,00","44,16","-16,62","2,58","-20,00"
"12,00","5,00","0,00","1,84","315,00","39,34","-16,62","2,58","-30,00"
"13,00","5,00","0,00","1,81","315,00","30,77","-16,62","1,79","-30,00"
"14,00","5,00","0,00","1,68","315,00","20,72","-15,47","1,49","-30,00"
"15,00","5,00","0,00","1,49","315,00","10,70","-13,18","0,86","-30,00"
"16,00","5,00","0,00","1,29","315,00","1,35","-11,46","0,00","-30,00"
"17,00","5,00","0,00","1,12","315,00","352,91","-7,45","0,00","-30,00"
"18,00","5,00","0,00","0,97","315,00","345,50","-3,44","0,00","-21,00"
"19,00","5,00","0,00","0,84","315,00","339,24","-0,57","0,00","-14,00"
"20,00","5,00","0,00","0,72","315,00","334,03","2,86","1,49","-9,00"
"21,00","5,00","0,00","0,60","315,00","329,70","6,88","1,65","-2,00"
"22,00","5,00","0,00","0,49","315,00","326,11","10,89","1,57","6,00"
"23,00","5,00","0,00","0,38","315,00","323,15","11,46","0,50","15,00"
"24,00","5,00","0,00","0,27","315,00","320,70","12,61","0,86","30,00"
"25,00","5,00","0,00","0,16","315,00","318,63","14,90","1,31","30,00"
"26,00","5,00","0,00","0,06","315,00","316,81","16,62","1,57","30,00"
"27,00","5,00","0,00","-0,01","315,00","315,14","18,91","1,57","30,00"
"28,00","5,00","0,00","-0,01","315,00","313,61","18,91","1,57","30,00"
"29,00","5,00","0,00","-0,01","315,00","312,18","20,63","1,57","30,00"
"30,00","5,00","0,00","-0,01","315,00","310,85","20,63","1,57","30,00"
"31,00","5,00","0,00","-0,01","315,00","309,61","22,92","1,57","30,00"
"32,00","5,00","0,00","-0,01","315,00","308,43","22,92","1,57","30,00"
"33,00","5,00","0,00","-0,01","315,00","307,33","24,64","1,57","30,00"
"34,00","5,00","0,00","-0,01","315,00","306,28","24,64","1,57","30,00"
"35,00","5,00","0,00","-0,01","315,00","305,28","24,64","1,57","30,00"
"36,00","5,00","0,00","-0,01","315,00","304,33","24,64","1,57","30,00"
"37,00","5,00","0,00","-0,01","315,00","303,42","26,93","1,57","30,00"
"38,00","5,00","0,00","-0,01","315,00","302,56","26,93","1,57","30,00"
"39,00","5,00","0,00","-0,01","315,00","301,72","26,93","1,57","30,00"
"40,00","5,00","0,00","-0,01","315,00","300,93","26,93","1,57","30,00"
"41,00","5,00","0,00","-0,01","315,00","300,16","28,65","1,57","30,00"
"42,00","5,00","0,00","-0,01","315,00","299,42","28,65","1,57","30,00"
"43,00","5,00","0,00","-0,01","315,00","298,71","28,65","1,57","30,00"
"44,00","5,00","0,00","-0,01","315,00","298,02","28,65","1,57","30,00"
"45,00","5,00","0,00","-0,01","315,00","297,36","28,65","1,57","30,00"
"46,00","5,00","0,00","-0,01","315,00","296,71","30,94","1,57","30,00"
"47,00","5,00","0,00","-0,01","315,00","296,09","30,94","1,57","30,00"
"48,00","5,00","0,00","-0,01","315,00","295,49","30,94","1,57","30,00"
"49,00","5,00","0,00","-0,01","315,00","294,90","30,94","1,57","30,00"
"50,00","5,00","0,00","-0,01","315,00","294,33","30,94","1,57","30,00"
"51,00","5,00","0,00","-0,01","315,00","293,78","30,94","1,57","30,00"
"52,00","5,00","0,00","-0,01","315,00","293,24","30,94","1,57","30,00"
"53,00","5,00","0,00","-0,01","315,00","292,71","32,66","1,57","30,00"
"54,00","5,00","0,00","-0,01","315,00","292,20","32,66","1,57","30,00"
"55,00","5,00","0,00","-0,01","315,00","291,71","32,66","1,57","30,00"
"56,00","5,00","0,00","-0,01","315,00","291,22","32,66","1,57","30,00"
"57,00","5,00","0,00","-0,01","315,00","290,75","32,66","1,57","30,00"
"58,00","5,00","0,00","-0,01","315,00","290,28","32,66","1,57","30,00"
"59,00","5,00","0,00","-0,01","315,00","289,83","32,66","1,57","30,00"
"60,00","5,00","0,00","-0,01","315,00","289,39","33,23","1,57","30,00"
