time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","6,56","194,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","6,30","194,69","0,54","231,00","359,98","-7,45","2,22","-20,00"
"2,00","6,20","186,14","1,04","231,00","359,43","-18,91","3,14","-30,00"
"3,00","6,28","184,50","1,59","231,00","356,84","-30,37","3,84","-30,00"
"4,00","6,19","188,07","2,06","231,00","350,51","-41,83","4,43","-30,00"
"5,00","6,53","191,22","2,30","231,00","340,12","-53,29","4,95","-30,00"
"6,00","6,27","186,41","2,43","231,00","327,19","-64,74","5,42","-30,00"
"7,00","6,41","190,56","2,66","231,00","312,78","-73,34","5,46","-30,00"
"8,00","6,78","188,24","2,76","231,00","297,55","-65,89","5,00","-18,00"
"9,00","7,34","184,82","2,88","231,00","284,24","-58,44","4,48","-12,00"
"10,00","7,20","180,33","3,00","231,00","273,04","-51,57","3,90","-6,00"
"11,00","7,04","181,55","2,97","231,00","263,81","-45,26","3,21","-4,00"
"12,00","7,08","186,88","2,90","231,00","256,30","-38,96","2,48","-2,00"
"13,00","7,07","187,73","2,83","231,00","250,22","-34,38","2,16","0,00"
"14,00","6,42","192,07","2,69","231,00","245,51","-30,94","1,65","0,00"
"15,00","6,07","188,84","2,53","231,00","241,71","-26,93","1,22","0,00"
"16,00","6,02","188,31","2,41","231,00","238,53","-23,49","1,22","2,00"
"17,00","5,82","186,55","2,31","231,00","236,19","-21,20","0,86","0,00"
"18,00","5,69","183,20","2,25","231,00","234,27","-21,20","0,86","0,00"
"19,00","5,67","185,71","2,18","231,00","232,78","-19,48","0,00","2,00"
"20,00","5,42","190,48","2,11","231,00","231,72","-19,48","0,00","0,00"
"21,00","5,24","188,07","2,06","231,00","230,72","-19,48","0,00","2,00"
"22,00","5,18","188,47","1,99","231,00","230,11","-17,19","0,00","0,00"
"23,00","4,71","188,67","1,93","231,00","229,63","-17,19","0,00","0,00"
"24,00","5,32","186,30","1,88","231,00","229,16","-17,19","0,00","0,00"
"25,00","5,30","188,25","1,89","231,00","228,73","-17,19","0,00","1,00"
"26,00","5,15","191,33","1,87","231,00","228,51","-17,19","0,00","1,00"
"27,00","5,26","189,64","1,85","231,00","228,50","-15,47","0,00","-1,00"
"28,00","5,78","184,10","1,88","231,00","228,38","-15,47","0,00","1,00"
"29,00","6,02","184,44","1,96","231,00","228,30","-15,47","1,40","1,00"
"30,00","6,37","186,84","2,04","231,00","228,35","-15,47","1,57","-1,00"
"31,00","6,05","183,75","2,07","231,00","228,24","-15,47","1,57","1,00"
"32,00","5,60","186,60","2,05","231,00","228,32","-16,62","1,57","-1,00"
"33,00","5,43","186,95","1,98","231,00","228,27","-16,62","1,57","1,00"
"34,00","5,33","189,65","1,95","231,00","228,27","-16,62","1,57","1,00"
"35,00","6,21","190,89","1,93","231,00","228,35","-16,62","1,11","-1,00"
"36,00","6,47","193,98","2,00","231,00","228,27","-15,47","0,50","1,00"
"37,00","6,58","189,25","2,01","231,00","228,37","-15,47","0,50","-1,00"
"38,00","7,01","190,58","2,09","231,00","228,37","-15,47","0,50","-1,00"
"39,00","7,41","195,26","2,13","231,00","228,34","-15,47","0,50","1,00"
"40,00","6,93","191,90","2,14","231,00","228,46","-15,47","0,50","-1,00"
"41,00","6,88","193,10","2,14","231,00","228,39","-15,47","0,50","1,00"
"42,00","7,04","194,51","2,13","231,00","228,51","-15,47","0,50","-1,00"
"43,00","6,73","190,36","2,11","231,00","228,48","-15,47","0,50","0,00"
"44,00","7,04","185,83","2,16","231,00","228,49","-15,47","0,50","1,00"
"45,00","7,11","187,76","2,21","231,00","228,59","-15,47","0,50","-1,00"
"46,00","6,47","187,37","2,21","231,00","228,51","-15,47","0,50","1,00"
