time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","5,00","261,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","5,00","264,70","-0,00","0,00","0,00","20,05","1,92","0,00"
"2,00","5,00","261,46","-0,00","0,00","0,00","31,51","2,93","0,00"
"3,00","5,00","261,10","-0,00","0,00","0,00","42,97","3,67","0,00"
"4,00","5,00","259,08","-0,00","0,00","0,00","48,70","3,40","0,00"
"5,00","5,00","261,76","-0,00","0,00","0,00","48,70","2,58","0,00"
"6,00","5,00","260,73","-0,00","0,00","0,00","48,70","1,49","0,00"
"7,00","5,00","259,37","-0,00","0,00","0,00","48,70","1,49","0,00"
"8,00","5,00","258,21","-0,00","0,00","0,00","48,70","1,49","0,00"
"9,00","5,00","258,69","-0,00","0,00","0,00","48,70","1,49","0,00"
"10,00","5,00","255,61","-0,00","0,00","0,00","48,70","1,49","0,00"
"11,00","5,00","257,76","-0,00","0,00","0,00","50,99","1,57","0,00"
"12,00","5,00","256,64","-0,00","0,00","0,00","50,99","1,57","0,00"
"13,00","5,00","259,69","-0,00","0,00","0,00","50,99","1,57","0,00"
"14,00","5,00","259,43","-0,00","0,00","0,00","50,99","1,57","0,00"
"15,00","5,00","256,92","-0,00","0,00","0,00","50,99","1,57","0,00"
"16,00","5,00","258,14","-0,00","0,00","0,00","50,99","1,57","0,00"
"17,00","5,00","258,11","-0,00","0,00","0,00","50,99","1,57","0,00"
"18,00","5,00","256,18","-0,00","0,00","0,00","50,99","1,57","0,00"
"19,00","5,00","258,42","-0,00","0,00","0,00","50,99","1,57","0,00"
"20,00","5,00","256,07","-0,00","0,00","0,00","50,99","1,57","0,00"
"21,00","5,00","255,69","-0,00","0,00","0,00","50,99","1,57","0,00"
"22,00","5,00","256,21","-0,00","0,00","0,00","50,99","1,57","0,00"
"23,00","5,00","257,65","-0,00","0,00","0,00","50,99","1,57","0,00"
"24,00","5,00","256,32","-0,00","0,00","0,00","50,99","1,57","0,00"
"25,00","5,00","257,67","-0,00","0,00","0,00","50,99","1,57","0,00"
"26,00","5,00","259,10","-0,00","0,00","0,00","50,99","1,57","0,00"
"27,00","5,00","256,34","-0,00","0,00","0,00","50,99","1,57","0,00"
"28,00","5,00","255,96","-0,00","0,00","0,00","50,99","1,57","0,00"
"29,00","5,00","257,48","-0,00","0,00","0,00","50,99","1,57","0,00"
"30,00","5,00","254,04","-0,00","0,00","0,00","50,99","1,57","0,00"
"31,00","5,00","254,31","-0,00","0,00","0,00","50,99","1,57","0,00"
"32,00","5,00","254,02","-0,00","0,00","0,00","50,99","1,57","0,00"
"33,00","5,00","253,34","-0,00","0,00","0,00","50,99","1,57","0,00"
"34,00","5,00","254,38","-0,00","0,00","0,00","52,71","1,57","0,00"
"35,00","5,00","257,23","-0,00","0,00","0,00","52,71","1,57","0,00"
"36,00","5,00","261,67","-0,00","0,00","0,00","52,71","0,50","0,00"
"37,00","5,00","262,87","-0,00","0,00","0,00","50,99","0,50","0,00"
"38,00","5,00","262,45","-0,00","0,00","0,00","50,99","0,50","0,00"
"39,00","5,00","263,06","-0,00","0,00","0,00","49,27","0,50","0,00"
"40,00","5,00","267,23","-0,00","0,00","0,00","49,27","0,50","0,00"
"41,00","5,00","266,00","-0,00","0,00","0,00","49,27","0,50","0,00"
"42,00","5,00","264,16","-0,00","0,00","0,00","49,27","0,50","0,00"
"43,00","5,00","264,97","-0,00","0,00","0,00","46,98","0,00","0,00"
"44,00","5,00","264,54","-0,00","0,00","0,00","46,98","0,00","0,00"
"45,00","5,00","263,55","-0,00","0,00","0,00","46,98","0,00","0,00"
"46,00","5,00","262,99","-0,00","0,00","0,00","46,98","1,57","0,00"
"47,00","5,00","262,93","-0,00","0,00","0,00","46,98","1,57","0,00"
"48,00","5,00","262,54","-0,00","0,00","0,00","46,98","1,57","0,00"
"49,00","5,00","256,98","-0,00","0,00","0,00","48,70","1,57","0,00"
"50,00","5,00","255,16","-0,00","0,00","0,00","48,70","1,57","0,00"
"51,00","5,00","250,75","-0,00","0,00","0,00","48,70","1,57","0,00"
"52,00","5,00","253,52","-0,00","0,00","0,00","50,99","1,57","0,00"
"53,00","5,00","253,77","-0,00","0,00","0,00","50,99","1,57","0,00"
"54,00","5,00","251,34","-0,00","0,00","0,00","52,71","1,57","0,00"
"55,00","5,00","255,10","-0,00","0,00","0,00","52,71","1,57","0,00"
"56,00","5,00","256,85","-0,00","0,00","0,00","52,71","1,57","0,00"
"57,00","5,00","257,22","-0,00","0,00","0,00","52,71","1,57","0,00"
"58,00","5,00","255,06","-0,00","0,00","0,00","52,71","0,50","0,00"
"59,00","5,00","254,56","-0,00","0,00","0,00","52,71","0,50","0,00"
"60,00","5,00","256,57","-0,00","0,00","0,00","52,71","0,50","0,00"
"61,00","5,00","257,13","-0,00","0,00","0,00","52,71","0,50","0,00"
"62,00","5,00","256,75","-0,00","0,00","0,00","52,71","0,50","0,00"
"63,00","5,00","258,54","-0,00","0,00","0,00","52,71","0,50","0,00"
"64,00","5,00","258,01","-0,00","0,00","0,00","50,99","0,50","0,00"
"65,00","5,00","254,92","-0,00","0,00","0,00","50,99","0,50","0,00"
"66,00","5,00","250,77","-0,00","0,00","0,00","50,99","1,49","0,00"
"67,00","5,00","254,19","-0,00","0,00","0,00","50,99","1,57","0,00"
"68,00","5,00","250,01","-0,00","0,00","0,00","52,71","1,57","0,00"
"69,00","5,00","251,25","-0,00","0,00","0,00","52,71","1,57","0,00"
"70,00","5,00","251,63","-0,00","0,00","0,00","52,71","1,57","0,00"
"71,00","5,00","247,24","-0,00","0,00","0,00","52,71","1,57","0,00"
"72,00","5,00","252,56","-0,00","0,00","0,00","55,00","1,40","0,00"
"73,00","5,00","252,35","-0,00","0,00","0,00","55,00","0,50","0,00"
"74,00","5,00","254,07","-0,00","0,00","0,00","55,00","0,50","0,00"
"75,00","5,00","252,22","-0,00","0,00","0,00","55,00","0,50","0,00"
"76,00","5,00","251,87","-0,00","0,00","0,00","55,00","0,50","0,00"
"77,00","5,00","257,44","-0,00","0,00","0,00","53,29","0,00","0,00"
"78,00","5,00","258,57","-0,00","0,00","0,00","53,29","0,00","0,00"
"79,00","5,00","258,33","-0,00","0,00","0,00","53,29","0,00","0,00"
"80,00","5,00","256,04","-0,00","0,00","0,00","53,29","0,00","0,00"
"81,00","5,00","255,25","-0,00","0,00","0,00","53,29","0,00","0,00"
"82,00","5,00","254,36","-0,00","0,00","0,00","50,99","0,00","0,00"
"83,00","5,00","254,95","-0,00","0,00","0,00","50,99","0,50","0,00"
"84,00","5,00","256,08","-0,00","0,00","0,00","50,99","1,57","0,00"
"85,00","5,00","253,60","-0,00","0,00","0,00","50,99","1,57","0,00"
"86,00","5,00","252,47","-0,00","0,00","0,00","50,99","1,57","0,00"
"87,00","5,00","251,95","-0,00","0,00","0,00","52,71","1,57","0,00"
"88,00","5,00","252,51","-0,00","0,00","0,00","52,71","1,57","0,00"
"89,00","5,00","254,47","-0,00","0,00","0,00","52,71","1,57","0,00"
"90,00","5,00","255,43","-0,00","0,00","0,00","52,71","1,57","0,00"
"91,00","5,00","255,61","-0,00","0,00","0,00","52,71","1,57","0,00"
"92,00","5,00","257,88","-0,00","0,00","0,00","52,71","0,50","0,00"
"93,00","5,00","262,08","-0,00","0,00","0,00","52,71","0,50","0,00"
"94,00","5,00","263,60","-0,00","0,00","0,00","50,99","0,50","0,00"
"95,00","5,00","262,30","-0,00","0,00","0,00","50,99","0,50","0,00"
"96,00","5,00","266,90","-0,00","0,00","0,00","49,27","0,50","0,00"
"97,00","5,00","266,56","-0,00","0,00","0,00","49,27","0,50","0,00"
"98,00","5,00","270,15","-0,00","0,00","0,00","46,98","0,00","0,00"
"99,00","5,00","270,48","-0,00","0,00","0,00","46,98","0,00","0,00"
"100,00","5,00","267,99","-0,00","0,00","0,00","46,98","0,00","0,00"
"101,00","5,00","265,67","-0,00","0,00","0,00","46,98","0,00","0,00"
