time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","5,00","45,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","5,00","45,00","0,11","0,00","0,00","-11,46","2,22","0,00"
"2,00","5,00","45,00","0,38","0,00","0,00","-21,77","2,76","0,00"
"3,00","5,00","45,00","0,69","0,00","0,00","-21,77","1,65","0,00"
"4,00","5,00","45,00","0,99","0,00","0,00","-21,77","0,50","0,00"
"5,00","5,00","45,00","1,25","0,00","0,00","-21,77","0,50","0,00"
"6,00","5,00","45,00","1,46","0,00","0,00","-20,05","0,50","0,00"
"7,00","5,00","45,00","1,62","0,00","0,00","-20,05","0,50","0,00"
"8,00","5,00","45,00","1,73","0,00","0,00","-19,48","0,50","0,00"
"9,00","5,00","45,00","1,79","0,00","0,00","-18,33","0,50","0,00"
"10,00","5,00","45,00","1,83","0,00","0,00","-18,33","0,50","0,00"
"11,00","5,00","45,00","1,85","0,00","0,00","-18,33","0,50","0,00"
"12,00","5,00","45,00","1,87","0,00","0,00","-18,33","0,50","0,00"
"13,00","5,00","45,00","1,87","0,00","0,00","-18,33","0,50","0,00"
"14,00","5,00","45,00","1,88","0,00","0,00","-18,33","0,50","0,00"
"15,00","5,00","45,00","1,88","0,00","0,00","-18,33","0,50","0,00"
"16,00","5,00","45,00","1,88","0,00","0,00","-18,33","0,50","0,00"
"17,00","5,00","45,00","1,89","0,00","0,00","-18,33","0,50","0,00"
"18,00","5,00","45,00","1,89","0,00","0,00","-18,33","0,50","0,00"
"19,00","5,00","45,00","1,89","0,00","0,00","-18,33","0,50","0,00"
"20,00","5,00","45,00","1,89","0,00","0,00","-18,33","0,50","0,00"
