time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","20,00"
"2,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"3,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"4,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"5,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"6,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"7,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"8,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"9,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"10,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"11,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"12,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"13,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"14,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"15,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"16,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"17,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"18,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"19,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"20,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"21,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"22,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"23,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"24,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"25,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"26,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"27,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"28,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"29,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"30,00","5,00","0,00","-0,00","0,00","0,00","0,00","0,00","30,00"
"31,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"32,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"33,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"34,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"35,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"36,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"37,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"38,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"39,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"40,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"41,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"42,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"43,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"44,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"45,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"46,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"47,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"48,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"49,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"50,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"51,00","5,00","0,00","-0,00","0,00","0,01","0,00","0,00","30,00"
"52,00","5,00","0,00","-0,00","0,00","0,02","0,00","0,00","30,00"
"53,00","5,00","0,00","-0,00","0,00","0,02","0,00","0,00","30,00"
"54,00","5,00","0,00","-0,00","0,00","0,02","0,00","0,00","30,00"
"55,00","5,00","0,00","-0,00","0,00","0,02","0,00","0,00","30,00"
"56,00","5,00","0,00","-0,00","0,00","0,02","0,00","0,00","30,00"
"57,00","5,00","0,00","-0,00","0,00","0,02","0,00","0,00","30,00"
"58,00","5,00","0,00","-0,00","0,00","0,02","0,00","0,00","30,00"
"59,00","5,00","0,00","-0,00","0,00","0,02","0,00","0,00","30,00"
"60,00","5,00","0,00","-0,00","0,00","0,02","0,00","0,00","30,00"
