time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","5,00","0,00","2,00","60,00","60,00","0,00","0,00","0,00"
"1,00","5,00","0,00","1,80","60,00","60,00","-11,46","2,22","0,00"
"2,00","5,00","0,00","1,86","60,00","60,00","-22,92","3,02","0,00"
"3,00","5,00","0,00","1,95","60,00","60,00","-22,92","3,02","0,00"
"4,00","5,00","0,00","2,00","60,00","60,00","-22,92","3,02","0,00"
"5,00","5,00","0,00","2,04","60,00","60,00","-22,92","3,02","0,00"
"6,00","5,00","0,00","2,06","60,00","60,00","-22,92","3,02","0,00"
"7,00","5,00","0,00","2,07","60,00","60,00","-22,92","3,02","0,00"
"8,00","5,00","0,00","2,07","60,00","60,00","-22,92","3,02","0,00"
"9,00","5,00","0,00","2,08","60,00","60,00","-22,92","3,02","0,00"
"10,00","5,00","0,00","2,08","350,00","60,00","-22,92","3,02","0,00"
"11,00","5,00","0,00","2,08","350,00","58,95","-22,92","3,02","-20,00"
"12,00","5,00","0,00","2,07","350,00","53,05","-22,92","2,76","-30,00"
"13,00","5,00","0,00","2,03","350,00","42,89","-21,77","1,65","-30,00"
"14,00","5,00","0,00","1,93","350,00","31,31","-21,20","1,49","-30,00"
"15,00","5,00","0,00","1,70","350,00","19,83","-17,76","0,50","-30,00"
"16,00","5,00","0,00","1,51","350,00","9,27","-15,47","0,50","-24,00"
"17,00","5,00","0,00","1,29","350,00","0,17","-11,46","0,50","-20,00"
"18,00","5,00","0,00","1,06","350,00","352,59","-7,45","0,50","-16,00"
"19,00","5,00","0,00","0,92","350,00","346,31","-3,44","0,50","-12,00"
"20,00","5,00","0,00","0,86","350,00","341,10","-0,00","0,00","-6,00"
"21,00","5,00","0,00","0,86","350,00","336,79","2,86","1,49","0,00"
"22,00","5,00","0,00","0,91","350,00","333,24","4,58","1,57","2,00"
"23,00","5,00","0,00","0,99","350,00","330,37","7,45","1,57","4,00"
"24,00","5,00","0,00","1,09","350,00","328,08","11,46","0,86","4,00"
"25,00","5,00","0,00","1,20","350,00","326,31","11,46","0,50","4,00"
"26,00","5,00","0,00","1,31","350,00","325,02","12,61","1,40","2,00"
"27,00","5,00","0,00","1,41","350,00","324,07","12,61","1,40","2,00"
"28,00","5,00","0,00","1,48","350,00","323,39","12,61","1,40","0,00"
"29,00","5,00","0,00","1,54","350,00","322,79","12,61","2,22","0,00"
"30,00","5,00","0,00","1,59","350,00","322,24","12,61","2,53","2,00"
"31,00","5,00","0,00","1,64","350,00","321,96","14,90","1,92","0,00"
"32,00","5,00","0,00","1,67","350,00","321,75","14,90","1,49","0,00"
"33,00","5,00","0,00","1,70","350,00","321,55","14,90","1,49","0,00"
"34,00","5,00","0,00","1,72","350,00","321,35","14,90","1,49","0,00"
"35,00","5,00","0,00","1,73","350,00","321,15","14,90","1,49","0,00"
"36,00","5,00","0,00","1,74","350,00","320,96","14,90","1,49","1,00"
"37,00","5,00","0,00","1,74","350,00","320,87","14,90","1,49","1,00"
"38,00","5,00","0,00","1,75","350,00","320,98","14,90","1,49","-1,00"
"39,00","5,00","0,00","1,75","350,00","321,03","14,90","1,49","-1,00"
"40,00","5,00","0,00","1,75","350,00","320,97","14,90","1,49","1,00"
"41,00","5,00","0,00","1,75","350,00","321,07","14,90","1,49","-1,00"
"42,00","5,00","0,00","1,75","350,00","321,11","14,90","1,49","-1,00"
"43,00","5,00","0,00","1,76","350,00","321,05","14,90","1,49","1,00"
"44,00","5,00","0,00","1,76","350,00","321,16","14,90","1,49","-1,00"
"45,00","5,00","0,00","1,76","350,00","321,18","14,90","1,49","-1,00"
"46,00","5,00","0,00","1,76","350,00","321,13","14,90","1,49","1,00"
"47,00","5,00","0,00","1,76","350,00","321,24","14,90","1,49","-1,00"
"48,00","5,00","0,00","1,76","350,00","321,22","14,90","1,49","0,00"
"49,00","5,00","0,00","1,76","350,00","321,21","14,90","1,49","1,00"
"50,00","5,00","0,00","1,76","350,00","321,31","14,90","1,49","-1,00"
"51,00","5,00","0,00","1,76","350,00","321,26","14,90","1,49","1,00"
"52,00","5,00","0,00","1,76","350,00","321,29","14,90","1,49","1,00"
"53,00","5,00","0,00","1,76","350,00","321,37","14,90","1,49","-1,00"
"54,00","5,00","0,00","1,76","350,00","321,31","14,90","1,49","1,00"
"55,00","5,00","0,00","1,76","350,00","321,38","14,90","1,49","0,00"
"56,00","5,00","0,00","1,75","350,00","321,42","14,90","1,49","-1,00"
"57,00","5,00","0,00","1,75","350,00","321,35","14,90","1,49","1,00"
"58,00","5,00","0,00","1,75","350,00","321,43","14,90","1,49","-1,00"
"59,00","5,00","0,00","1,75","350,00","321,46","14,90","1,49","-1,00"
"60,00","5,00","0,00","1,75","350,00","321,41","14,90","1,49","1,00"
