SOG,TWS,AWS at foot,AWS at head,TWA,AWA at foot,AWA at head
"0,00","5,00","6,02","7,34","150,00","150,09","150,08"
"0,10","5,00","5,88","7,20","150,00","149,33","149,46"
"0,20","5,00","5,80","7,12","150,00","148,83","149,05"
"0,30","5,00","5,71","7,03","150,00","148,31","148,63"
"0,40","5,00","5,63","6,95","150,00","147,78","148,20"
"0,50","5,00","5,54","6,86","150,00","147,23","147,76"
"0,60","5,00","5,46","6,78","150,00","146,66","147,31"
"0,70","5,00","5,38","6,70","150,00","146,08","146,85"
"0,80","5,00","5,29","6,61","150,00","145,48","146,38"
"0,90","5,00","5,21","6,53","150,00","144,86","145,90"
"1,00","5,00","5,13","6,45","150,00","144,22","145,41"
"1,10","5,00","5,05","6,37","150,00","143,57","144,90"
"1,20","5,00","4,97","6,29","150,00","142,89","144,39"
"1,30","5,00","4,89","6,21","150,00","142,20","143,86"
"1,40","5,00","4,82","6,13","150,00","141,49","143,32"
"1,50","5,00","4,74","6,05","150,00","140,75","142,76"
"1,60","5,00","4,67","5,97","150,00","139,99","142,20"
"1,70","5,00","4,59","5,90","150,00","139,21","141,62"
"1,80","5,00","4,52","5,82","150,00","138,41","141,02"
"1,90","5,00","4,45","5,75","150,00","137,58","140,42"
"2,00","5,00","4,38","5,67","150,00","136,73","139,80"
"2,10","5,00","4,31","5,60","150,00","135,86","139,16"
"2,20","5,00","4,24","5,53","150,00","134,96","138,52"
"2,30","5,00","4,17","5,46","150,00","134,03","137,85"
"2,40","5,00","4,11","5,39","150,00","133,08","137,18"
"2,50","5,00","4,04","5,32","150,00","132,11","136,49"
"2,60","5,00","3,98","5,25","150,00","131,11","135,78"
"2,70","5,00","3,92","5,18","150,00","130,08","135,06"
"2,80","5,00","3,86","5,12","150,00","129,03","134,33"
"2,90","5,00","3,80","5,05","150,00","127,95","133,58"
"3,00","5,00","3,75","4,99","150,00","126,84","132,82"
