TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"5,00","0,00","1,62","0,00","0,79","0,00","0,00","20,00"
"5,00","0,00","1,39","0,00","4,58","0,00","0,00","30,00"
"5,00","0,00","1,25","0,00","10,56","0,00","0,00","17,00"
"5,00","0,00","1,17","0,00","16,33","-1,72","0,86","2,00"
"5,00","0,00","1,11","0,00","20,99","-1,72","0,86","0,00"
"5,00","0,00","1,10","0,00","24,78","-4,01","1,31","-2,00"
"5,00","0,00","1,12","0,00","27,84","-5,73","1,31","-4,00"
"5,00","0,00","1,18","0,00","30,26","-8,02","1,40","-4,00"
"5,00","0,00","1,25","0,00","32,09","-9,74","1,40","-4,00"
"5,00","0,00","1,32","0,00","33,49","-12,03","1,92","-2,00"
"5,00","0,00","1,39","0,00","34,59","-12,03","1,22","-2,00"
"5,00","0,00","1,46","0,00","35,40","-12,03","1,22","-2,00"
"5,00","0,00","1,51","0,00","36,00","-13,75","1,22","0,00"
"5,00","0,00","1,56","0,00","36,57","-13,75","1,22","0,00"
"5,00","0,00","1,60","0,00","37,07","-13,75","1,22","-1,00"
"5,00","0,00","1,64","0,00","37,39","-13,75","1,22","-1,00"
"5,00","0,00","1,66","0,00","37,53","-13,75","1,22","-1,00"
"5,00","0,00","1,67","0,00","37,59","-13,75","1,22","1,00"
"5,00","0,00","1,68","0,00","37,78","-13,75","1,22","-1,00"
"5,00","0,00","1,68","0,00","37,85","-13,75","1,22","-1,00"
"5,00","0,00","1,69","0,00","37,83","-13,75","1,22","1,00"
"5,00","0,00","1,69","0,00","37,96","-13,75","1,22","-1,00"
"5,00","0,00","1,69","0,00","37,97","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,92","-13,75","1,22","1,00"
"5,00","0,00","1,70","0,00","38,02","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","38,00","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,95","-13,75","1,22","1,00"
"5,00","0,00","1,70","0,00","38,04","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","38,00","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,94","-13,75","1,22","1,00"
"5,00","0,00","1,70","0,00","38,03","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,99","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,92","-13,75","1,22","1,00"
"5,00","0,00","1,70","0,00","38,00","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,96","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,89","-13,75","1,22","1,00"
"5,00","0,00","1,70","0,00","37,97","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,93","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,86","-13,75","1,22","1,00"
"5,00","0,00","1,70","0,00","37,94","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,90","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,83","-13,75","1,22","1,00"
"5,00","0,00","1,70","0,00","37,91","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,87","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,80","-13,75","1,22","1,00"
"5,00","0,00","1,70","0,00","37,88","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,84","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,77","-13,75","1,22","1,00"
"5,00","0,00","1,70","0,00","37,85","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,81","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,76","-13,75","1,22","1,00"
"5,00","0,00","1,70","0,00","37,84","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,78","-13,75","1,22","-1,00"
"5,00","0,00","1,69","0,00","37,73","-13,75","1,22","1,00"
"5,00","0,00","1,69","0,00","37,81","-13,75","1,22","-1,00"
"5,00","0,00","1,69","0,00","37,75","-13,75","1,22","-1,00"
"5,00","0,00","1,69","0,00","37,70","-13,75","1,22","1,00"
"5,00","0,00","1,69","0,00","37,78","-13,75","1,22","-1,00"
"5,00","0,00","1,69","0,00","37,73","-13,75","1,22","-1,00"
"5,00","0,00","1,70","0,00","37,67","-13,75","1,22","1,00"
