TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"5,00","0,00","1,80","60,00","60,00","-11,46","2,22","0,00"
"5,00","0,00","1,86","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","1,95","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,00","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,04","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,06","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,07","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,07","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,08","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,08","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,08","350,00","58,95","-22,92","3,02","-20,00"
"5,00","0,00","2,07","350,00","53,05","-22,92","2,76","-30,00"
"5,00","0,00","2,03","350,00","42,89","-21,77","1,65","-30,00"
"5,00","0,00","1,93","350,00","31,31","-21,20","1,49","-30,00"
"5,00","0,00","1,70","350,00","19,83","-17,76","0,50","-30,00"
"5,00","0,00","1,51","350,00","9,27","-15,47","0,50","-24,00"
"5,00","0,00","1,29","350,00","0,17","-11,46","0,50","-20,00"
"5,00","0,00","1,12","350,00","352,58","-7,45","0,50","-14,00"
"5,00","0,00","0,97","350,00","346,28","-3,44","0,50","-10,00"
"5,00","0,00","0,84","350,00","341,06","-0,00","0,00","-6,00"
"5,00","0,00","0,72","350,00","336,75","2,86","1,49","0,00"
"5,00","0,00","0,61","350,00","333,22","4,58","1,65","5,00"
"5,00","0,00","0,50","350,00","330,32","8,59","1,65","11,00"
"5,00","0,00","0,39","350,00","327,95","11,46","0,50","19,00"
"5,00","0,00","0,29","350,00","326,00","11,46","0,86","30,00"
"5,00","0,00","0,18","350,00","324,37","12,61","0,99","30,00"
"5,00","0,00","0,08","350,00","322,93","14,90","1,40","30,00"
"5,00","0,00","-0,00","350,00","321,60","14,90","1,49","30,00"
"5,00","0,00","-0,01","350,00","320,35","16,62","1,65","30,00"
"5,00","0,00","-0,01","350,00","319,17","16,62","1,65","30,00"
"5,00","0,00","-0,01","350,00","318,07","18,91","1,65","30,00"
"5,00","0,00","-0,01","350,00","317,02","18,91","1,65","30,00"
"5,00","0,00","-0,01","350,00","316,02","18,91","1,65","30,00"
"5,00","0,00","-0,01","350,00","315,07","20,63","1,65","30,00"
"5,00","0,00","-0,01","350,00","314,16","20,63","1,65","30,00"
"5,00","0,00","-0,01","350,00","313,30","20,63","1,65","30,00"
"5,00","0,00","-0,01","350,00","312,46","20,63","1,65","30,00"
"5,00","0,00","-0,01","350,00","311,67","22,92","1,65","30,00"
"5,00","0,00","-0,01","350,00","310,90","22,92","1,65","30,00"
"5,00","0,00","-0,01","350,00","310,16","22,92","1,65","30,00"
"5,00","0,00","-0,01","350,00","309,45","22,92","1,65","30,00"
"5,00","0,00","-0,01","350,00","308,76","22,92","1,65","30,00"
"5,00","0,00","-0,01","350,00","308,10","24,64","1,65","30,00"
"5,00","0,00","-0,01","350,00","307,45","24,64","1,65","30,00"
"5,00","0,00","-0,01","350,00","306,83","24,64","1,65","30,00"
"5,00","0,00","-0,01","350,00","306,23","24,64","1,65","30,00"
"5,00","0,00","-0,01","350,00","305,64","24,64","1,65","30,00"
"5,00","0,00","-0,01","350,00","305,07","24,64","1,65","30,00"
"5,00","0,00","-0,01","350,00","304,52","26,93","1,65","30,00"
"5,00","0,00","-0,01","350,00","303,98","26,93","1,65","30,00"
"5,00","0,00","-0,01","350,00","303,45","26,93","1,65","30,00"
"5,00","0,00","-0,01","350,00","302,94","26,93","1,65","30,00"
"5,00","0,00","-0,01","350,00","302,44","26,93","1,65","30,00"
"5,00","0,00","-0,01","350,00","301,96","26,93","1,65","30,00"
"5,00","0,00","-0,01","350,00","301,48","26,93","1,65","30,00"
"5,00","0,00","-0,01","350,00","301,02","28,65","1,65","30,00"
"5,00","0,00","-0,01","350,00","300,57","28,65","1,65","30,00"
"5,00","0,00","-0,01","350,00","300,12","28,65","1,65","30,00"
"5,00","0,00","-0,01","350,00","299,69","28,65","1,65","30,00"
"5,00","0,00","-0,01","350,00","299,27","28,65","1,65","30,00"
